t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,3.033,-0.149,0.137,5.137,0.075,2,14,0,0.245,0,0,0.079,-1.366,2.507,0.153,5.153,0.049,2,14,0,0.256,0,0,0.060,-1.701,-2.548,0.669,5.669,0.042,2,14,0,0.222,0,0,0.086,5.092,nan,0,0,0.256,nan,nan,nan,nan
2.0,3.118,-0.204,-0.629,4.371,0.029,2,14,0,0.232,0,0,0.073,-1.241,2.579,-0.575,4.425,0.128,2,14,0,0.205,0,0,0.094,-1.626,-2.572,-0.057,4.943,0.059,2,14,0,0.202,0,0,0.149,5.172,0.260,0,0,0.232,0.000,0.000,0.000,0.000
3.0,3.083,-0.247,-1.792,3.208,0.053,2,14,0,0.262,0,0,0.041,-1.228,2.665,-1.727,3.273,0.033,2,14,0,0.212,0,0,0.152,-1.731,-2.529,-1.063,3.937,0.090,2,14,0,0.283,0,0,0.081,5.203,0.280,0,0,0.283,0.000,0.000,0.000,0.000
4.0,3.086,-0.245,-3.072,1.928,0.034,2,14,0,0.585,0,0,0.043,-1.196,2.638,-3.045,1.955,0.077,2,14,0,0.322,0,0,0.161,-1.801,-2.509,-2.247,2.753,0.077,2,14,0,0.343,0,0,0.094,5.162,0.314,0,0,0.585,0.000,0.000,0.000,0.000
5.0,3.057,-0.261,-4.225,0.775,0.048,2,14,0,0.161,0,0,0.038,-1.242,2.554,-4.184,0.816,0.107,2,14,0,0.170,0,0,0.092,-1.827,-2.595,-3.419,1.581,0.090,2,14,0,0.199,0,0,0.056,5.139,0.327,0,0,0.199,0.000,0.000,0.000,0.000
6.0,2.998,-0.234,-4.699,0.301,0.035,2,14,0,0.158,0,0,0.051,-1.252,2.453,-4.600,0.400,0.102,2,14,0,0.159,0,0,0.132,-1.802,-2.672,-3.863,1.137,0.053,2,14,0,0.156,0,0,0.079,5.030,0.311,0,0,0.159,0.000,0.000,0.000,0.000
7.0,2.997,-0.197,-4.865,0.135,0.020,2,14,0,0.168,0,0,0.058,-1.349,2.490,-4.800,0.200,0.092,2,14,0,0.211,0,0,0.067,-1.799,-2.707,-3.925,1.075,0.024,2,14,0,0.166,0,0,0.111,5.111,0.318,0,0,0.211,0.000,0.000,0.000,0.000
8.0,3.054,-0.203,-4.864,0.136,0.025,2,14,0,0.166,0,0,0.022,-1.513,2.459,-4.938,0.062,0.065,2,14,0,0.145,0,0,0.202,-1.855,-2.627,-4.072,0.928,0.043,2,14,0,0.162,0,0,0.088,5.170,0.357,0,0,0.166,0.000,0.000,0.000,0.000
9.0,3.069,-0.227,-4.855,0.145,0.018,2,14,0,0.214,0,0,0.022,-1.532,2.452,-4.985,0.015,0.051,2,14,0,0.173,0,0,0.225,-1.871,-2.600,-4.102,0.898,0.046,2,14,0,0.139,0,0,0.099,5.140,0.371,0,0,0.214,0.000,0.000,0.000,0.000
10.0,3.096,-0.226,-4.974,0.026,0.018,2,14,0,0.133,0,0,0.048,-1.425,2.533,-5.007,-0.007,0.108,2,14,0,0.142,0,0,0.094,-1.784,-2.534,-4.156,0.844,0.069,2,14,0,0.162,0,0,0.066,5.150,0.291,0,0,0.162,0.000,0.000,0.000,0.000
11.0,3.050,-0.187,-4.996,0.004,0.036,2,14,0,0.166,0,0,0.038,-1.385,2.569,-4.996,0.004,0.090,2,14,0,0.180,0,0,0.053,-1.668,-2.544,-4.109,0.891,0.044,2,14,0,0.165,0,0,0.118,5.197,0.193,0,0,0.180,0.000,0.000,0.000,0.000
12.0,2.967,-0.193,-4.987,0.013,0.033,2,14,0,0.163,0,0,0.087,-1.304,2.548,-5.017,-0.017,0.079,2,14,0,0.168,0,0,0.029,-1.708,-2.549,-4.123,0.877,0.033,2,14,0,0.133,0,0,0.080,5.075,0.214,0,0,0.168,0.000,0.000,0.000,0.000
13.0,2.956,-0.217,-5.020,-0.020,0.026,2,14,0,0.157,0,0,0.092,-1.176,2.570,-4.944,0.056,0.035,2,14,0,0.136,0,0,0.158,-1.725,-2.572,-4.121,0.879,0.052,2,14,0,0.149,0,0,0.054,4.985,0.325,0,0,0.157,0.000,0.000,0.000,0.000
14.0,2.987,-0.263,-4.983,0.017,0.051,2,14,0,0.164,0,0,0.073,-1.225,2.647,-4.980,0.020,0.063,2,14,0,0.173,0,0,0.143,-1.732,-2.613,-4.195,0.805,0.050,2,14,0,0.164,0,0,0.042,5.119,0.280,0,0,0.173,0.000,0.000,0.000,0.000
15.0,3.039,-0.259,-4.986,0.014,0.054,2,14,0,0.160,0,0,0.035,-1.311,2.694,-4.996,0.004,0.077,2,14,0,0.159,0,0,0.140,-1.743,-2.654,-4.115,0.885,0.042,2,14,0,0.153,0,0,0.062,5.257,0.262,0,0,0.160,0.000,0.000,0.000,0.000
16.0,3.123,-0.235,-4.991,0.009,0.045,2,14,0,0.155,0,0,0.075,-1.324,2.657,-4.988,0.012,0.088,2,14,0,0.154,0,0,0.101,-1.742,-2.638,-4.167,0.833,0.038,2,14,0,0.125,0,0,0.050,5.305,0.266,0,0,0.155,0.000,0.000,0.000,0.000
17.0,3.106,-0.200,-4.984,0.016,0.022,2,14,0,0.168,0,0,0.064,-1.388,2.574,-4.939,0.061,0.100,2,14,0,0.180,0,0,0.057,-1.850,-2.617,-4.167,0.833,0.054,2,14,0,0.163,0,0,0.078,5.268,0.350,0,0,0.180,0.000,0.000,0.000,0.000
18.0,3.038,-0.211,-5.032,-0.032,0.036,2,14,0,0.177,0,0,0.017,-1.490,2.540,-4.982,0.018,0.054,2,14,0,0.172,0,0,0.157,-1.922,-2.579,-4.236,0.764,0.035,2,14,0,0.164,0,0,0.153,5.191,0.422,0,0,0.177,0.000,0.000,0.000,0.000
19.0,2.998,-0.203,-4.996,0.004,0.024,2,14,0,0.171,0,0,0.051,-1.444,2.470,-4.932,0.068,0.067,2,14,0,0.180,0,0,0.161,-1.838,-2.564,-4.233,0.767,0.071,2,14,0,0.169,0,0,0.070,5.098,0.338,0,0,0.180,-0.000,0.035,-0.000,0.144
20.0,3.017,-0.141,-5.029,-0.029,0.136,2,14,0,0.164,0,0,0.241,-1.413,2.534,-5.008,-0.008,0.172,2,14,0,0.188,0,0,0.351,-1.740,-2.549,-4.209,0.791,0.131,2,14,0,0.231,0,0,0.274,5.156,0.470,0,0,0.231,-0.005,0.329,-0.015,0.444
21.0,3.075,0.182,-5.010,-0.010,0.461,2,14,0,0.192,0,0,0.512,-1.351,2.846,-5.045,-0.045,0.488,2,14,0,0.197,0,0,0.624,-1.700,-2.284,-4.182,0.818,0.439,2,14,0,0.186,0,0,0.609,5.166,0.748,0,0,0.197,-0.043,0.921,-0.069,0.741
22.0,3.036,0.822,-4.978,0.022,0.816,2,14,0,0.202,0,0,0.761,-1.201,3.481,-5.051,-0.051,0.823,2,14,0,0.206,0,0,0.916,-1.700,-1.672,-4.140,0.860,0.801,2,14,0,0.200,0,0,0.896,5.002,1.033,0,0,0.206,-0.165,1.807,-0.189,1.027
23.0,2.922,1.824,-5.006,-0.006,1.209,2,14,0,0.223,0,0,0.955,-1.294,4.573,-5.014,-0.014,1.266,2,14,0,0.210,0,0,1.051,-1.802,-0.615,-4.120,0.880,1.242,2,14,0,0.227,0,0,1.051,5.033,1.201,0,0,0.227,-0.450,2.965,-0.399,1.284
24.0,2.561,3.215,-4.984,0.016,1.671,2,14,0,0.186,0,0,0.996,-1.620,6.088,-4.970,0.030,1.769,2,14,0,0.194,0,0,1.038,-2.088,0.805,-4.147,0.853,1.715,2,14,0,0.218,0,0,1.119,5.073,1.234,0,0,0.218,-0.983,4.323,-0.648,1.353
25.0,1.876,4.968,-5.044,-0.044,2.035,2,14,0,0.166,0,0,0.689,-2.394,7.910,-5.032,-0.032,2.113,2,14,0,0.215,0,0,0.709,-2.751,2.655,-4.088,0.912,2.113,2,14,0,0.195,0,0,0.824,5.185,0.891,0,0,0.215,-1.730,5.622,-0.843,1.241
26.0,0.954,6.789,-4.985,0.015,2.121,2,14,0,0.219,0,0,0.601,-3.513,9.764,-4.971,0.029,2.171,2,14,0,0.245,0,0,0.633,-3.811,4.600,-4.193,0.807,2.224,2,14,0,0.219,0,0,0.739,5.230,0.748,0,0,0.245,-2.663,6.794,-1.019,1.101
