t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,nan,nan,nan,nan,nan,0,0,0,0.285,0,0,0.079,-1.669,2.573,-0.546,4.454,0.041,2,14,0,0.295,0,0,0.098,nan,nan,nan,nan,nan,0,0,0,0.359,0,0,0.046,nan,nan,0,0,0.359,0.000,0.000,0.000,0.000
2.0,3.183,-0.212,-1.521,3.479,0.097,2,14,0,0.274,0,0,0.059,-1.602,2.498,-1.228,3.772,0.017,2,14,0,0.266,0,0,0.074,-1.248,-2.790,-1.223,3.777,0.058,2,14,0,0.273,0,0,0.099,5.135,0.317,0,0,0.274,0.000,0.000,0.000,0.000
3.0,3.282,-0.242,-2.578,2.422,0.067,2,14,0,0.323,0,0,0.104,-1.584,2.465,-2.339,2.661,0.040,2,14,0,0.238,0,0,0.089,-1.290,-2.727,-2.252,2.748,0.053,2,14,0,0.296,0,0,0.107,5.201,0.371,0,0,0.323,0.000,0.000,0.000,0.000
4.0,3.224,-0.280,-3.818,1.182,0.044,2,14,0,0.169,0,0,0.044,-1.543,2.447,-3.616,1.384,0.027,2,14,0,0.189,0,0,0.132,-1.337,-2.769,-3.565,1.435,0.075,2,14,0,0.195,0,0,0.051,5.202,0.359,0,0,0.195,0.000,0.000,0.000,0.000
5.0,3.168,-0.275,-4.548,0.452,0.038,2,14,0,0.195,0,0,0.013,-1.576,2.498,-4.478,0.522,0.064,2,14,0,0.169,0,0,0.100,-1.431,-2.879,-4.498,0.502,0.057,2,14,0,0.175,0,0,0.107,5.286,0.322,0,0,0.195,0.000,0.000,0.000,0.000
6.0,3.184,-0.298,-4.784,0.216,0.016,2,14,0,0.166,0,0,0.026,-1.651,2.499,-4.725,0.275,0.075,2,14,0,0.161,0,0,0.033,-1.351,-2.915,-4.708,0.292,0.020,2,14,0,0.164,0,0,0.095,5.237,0.350,0,0,0.166,0.000,0.000,0.000,0.000
7.0,3.146,-0.353,-4.844,0.156,0.025,2,14,0,0.178,0,0,0.090,-1.776,2.539,-4.904,0.096,0.067,2,14,0,0.162,0,0,0.120,-1.365,-2.945,-4.840,0.160,0.022,2,14,0,0.172,0,0,0.126,5.202,0.382,0,0,0.178,0.000,0.000,0.000,0.000
8.0,3.191,-0.301,-4.911,0.089,0.043,2,14,0,0.139,0,0,0.032,-1.864,2.503,-4.906,0.094,0.044,2,14,0,0.134,0,0,0.193,-1.435,-2.888,-4.902,0.098,0.068,2,14,0,0.138,0,0,0.115,5.300,0.376,0,0,0.139,0.000,0.000,0.000,0.000
9.0,3.178,-0.305,-4.914,0.086,0.034,2,14,0,0.150,0,0,0.035,-1.847,2.452,-4.955,0.045,0.084,2,14,0,0.165,0,0,0.177,-1.442,-2.797,-4.929,0.071,0.081,2,14,0,0.173,0,0,0.104,5.249,0.377,0,0,0.173,0.000,0.000,0.000,0.000
10.0,3.110,-0.292,-5.018,-0.018,0.034,2,14,0,0.176,0,0,0.075,-1.738,2.510,-4.953,0.047,0.117,2,14,0,0.168,0,0,0.074,-1.352,-2.754,-4.998,0.002,0.065,2,14,0,0.190,0,0,0.068,5.096,0.312,0,0,0.190,0.000,0.000,0.000,0.000
