t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,3.040,0.109,-0.011,4.989,0.059,2,14,0,0.227,0,0,0.152,-1.243,2.625,0.350,5.350,0.041,2,14,0,0.247,0,0,0.073,-1.676,-2.325,-0.193,4.807,0.037,2,14,0,0.248,0,0,0.018,4.980,0.325,0,0,0.248,0.000,0.000,0.000,0.000
2.0,3.290,0.088,-0.722,4.278,0.146,2,14,0,0.249,0,0,0.097,-1.260,2.629,-0.370,4.630,0.083,2,14,0,0.242,0,1,0.055,-1.581,-2.285,-0.875,4.125,0.107,2,14,0,0.353,0,0,0.099,4.950,0.323,0,0,0.353,0.000,0.000,0.000,0.000
3.0,3.345,0.153,-1.909,3.091,0.013,2,14,0,0.250,0,0,0.175,-1.228,2.638,-0.991,4.009,0.056,2,14,0,0.256,0,0,0.088,-1.568,-2.285,-2.047,2.953,0.029,2,14,0,0.244,0,0,0.112,5.046,0.378,0,0,0.256,0.000,0.000,0.000,0.000
4.0,3.279,0.106,-3.190,1.810,0.066,2,14,0,0.324,0,0,0.095,-1.252,2.650,-2.181,2.819,0.042,2,14,0,0.247,0,0,0.068,-1.634,-2.281,-3.298,1.702,0.078,2,14,0,0.291,0,0,0.053,5.070,0.344,0,0,0.324,0.000,0.000,0.000,0.000
5.0,3.162,0.045,-4.282,0.718,0.103,2,14,0,0.167,0,0,0.042,-1.324,2.696,-3.457,1.543,0.052,2,14,0,0.289,0,0,0.069,-1.691,-2.228,-4.373,0.627,0.062,2,14,0,0.169,0,0,0.079,5.022,0.417,0,0,0.289,0.000,0.000,0.000,0.000
6.0,3.012,-0.012,-4.670,0.330,0.087,2,14,0,0.164,0,0,0.195,-1.314,2.691,-4.431,0.569,0.036,2,14,0,0.164,0,0,0.064,-1.813,-2.248,-4.717,0.283,0.059,2,14,0,0.161,0,0,0.147,4.973,0.470,0,0,0.164,0.000,0.000,0.000,0.000
7.0,3.010,-0.019,-4.800,0.200,0.027,2,14,0,0.201,0,0,0.204,-1.276,2.663,-4.799,0.201,0.049,2,14,0,0.172,0,0,0.053,-1.824,-2.328,-4.848,0.152,0.057,2,14,0,0.171,0,0,0.147,5.022,0.422,0,0,0.201,0.000,0.000,0.000,0.000
8.0,3.079,-0.006,-4.942,0.058,0.083,2,14,0,0.176,0,0,0.141,-1.346,2.653,-4.868,0.132,0.044,2,14,0,0.169,0,0,0.040,-1.743,-2.346,-4.914,0.086,0.086,2,14,0,0.171,0,0,0.076,5.014,0.350,0,0,0.176,0.000,0.000,0.000,0.000
9.0,3.139,0.019,-4.945,0.055,0.095,2,14,0,0.170,0,0,0.080,-1.365,2.600,-4.886,0.114,0.038,2,14,0,0.168,0,0,0.056,-1.703,-2.315,-4.931,0.069,0.073,2,14,0,0.167,0,0,0.028,4.927,0.348,0,0,0.170,0.000,0.000,0.000,0.000
10.0,3.267,0.066,-4.960,0.040,0.088,2,14,0,0.169,0,0,0.080,-1.338,2.594,-4.932,0.068,0.026,2,14,0,0.172,0,0,0.041,-1.554,-2.265,-5.004,-0.004,0.061,2,14,0,0.171,0,0,0.130,4.864,0.337,0,0,0.172,0.000,0.000,0.000,0.000
