t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,0.300,0.196,0.501,5.501,0.023,2,14,0,0.205,0,1,0.095,nan,0.345,0,0,0.205,-0.000,0.026,-0.000,0.126
2.0,0.344,0.202,0.474,5.474,0.031,2,14,0,0.202,0,1,0.268,nan,0.363,0,0,0.202,-0.005,0.302,-0.013,0.426
3.0,0.340,0.188,0.474,5.474,0.080,2,14,0,0.217,0,1,0.837,nan,0.787,0,0,0.217,-0.039,0.877,-0.064,0.723
4.0,0.355,0.165,0.185,5.185,0.045,2,14,0,0.236,0,1,1.736,nan,1.660,0,0,0.236,-0.154,1.745,-0.179,1.010
5.0,0.370,0.220,-0.478,4.522,0.050,2,14,0,0.258,0,1,2.859,nan,2.785,0,0,0.258,-0.426,2.889,-0.383,1.269
6.0,0.240,0.309,-1.590,3.410,0.390,2,14,0,0.220,0,0,4.180,nan,4.107,0,0,0.220,-0.944,4.241,-0.636,1.358
7.0,-0.025,0.467,-2.394,2.606,0.198,2,14,0,0.261,0,1,5.406,nan,5.342,0,0,0.261,-1.679,5.547,-0.832,1.248
8.0,-0.064,0.535,-2.328,2.672,0.030,2,14,0,0.269,0,1,6.296,nan,6.693,0,0,0.269,-2.602,6.728,-1.009,1.110
9.0,-0.134,0.569,-2.186,2.814,0.014,2,14,0,0.269,0,1,6.296,nan,8.020,0,0,0.269,-3.690,7.758,-1.164,0.946
10.0,-0.177,0.584,-2.127,2.873,0.010,2,2,0,0.269,0,1,6.296,nan,9.327,0,0,0.269,-4.921,8.614,-1.292,0.762
11.0,-0.063,0.593,-1.386,3.614,0.044,2,2,0,0.269,0,1,6.296,nan,10.671,0,0,0.269,-6.265,9.276,-1.391,0.560
12.0,-0.001,0.624,-0.713,4.287,0.055,2,2,0,0.269,0,1,6.296,nan,11.920,0,0,0.269,-7.693,9.730,-1.460,0.346
13.0,0.024,0.701,0.023,5.023,0.065,2,2,0,0.269,0,1,6.296,nan,13.055,0,0,0.269,-9.173,9.966,-1.495,0.124
14.0,-0.031,0.644,-0.077,4.923,0.009,2,2,0,0.269,0,1,6.296,nan,14.154,0,0,0.269,-10.672,9.977,-1.497,-0.101
15.0,-0.104,0.605,-1.036,3.964,0.031,2,2,0,0.269,0,1,6.296,nan,15.137,0,0,0.269,-12.155,9.765,-1.465,-0.323
16.0,-0.085,0.639,-1.574,3.426,0.011,2,2,0,0.269,0,1,6.296,nan,16.062,0,0,0.269,-13.590,9.333,-1.400,-0.539
17.0,-0.045,0.591,-1.975,3.025,0.030,2,2,0,0.269,0,1,6.296,nan,16.959,0,0,0.269,-14.945,8.692,-1.304,-0.742
