t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,0.305,-0.062,0.594,5.594,0.050,2,14,0,0.220,0,0,0.061,nan,0.319,0,0,0.220,-0.000,0.029,-0.000,0.132
2.0,0.357,-0.015,-0.158,4.842,0.188,2,14,0,0.219,0,1,0.288,nan,0.486,0,0,0.219,-0.005,0.311,-0.013,0.432
3.0,0.318,0.064,-0.517,4.483,0.056,2,14,0,0.307,0,0,0.774,nan,0.902,0,0,0.307,-0.040,0.892,-0.065,0.729
4.0,0.240,0.351,-1.716,3.284,0.403,2,14,0,0.234,0,0,1.367,nan,1.469,0,0,0.234,-0.157,1.766,-0.182,1.016
5.0,0.119,0.872,-3.123,1.877,0.744,2,14,0,0.304,0,0,2.014,nan,2.115,0,0,0.304,-0.434,2.914,-0.388,1.274
6.0,-0.108,1.734,-4.334,0.666,1.127,2,14,0,0.276,0,0,2.551,nan,2.673,0,0,0.276,-0.957,4.268,-0.640,1.356
7.0,-0.688,3.016,-4.750,0.250,1.611,2,14,0,0.249,0,0,2.631,nan,2.748,0,0,0.249,-1.696,5.572,-0.836,1.246
8.0,-1.493,4.717,-4.908,0.092,2.136,2,14,0,0.210,0,0,2.192,nan,2.326,0,0,0.210,-2.622,6.750,-1.013,1.107
9.0,-2.626,6.846,-5.042,-0.042,2.630,2,14,0,0.230,0,0,1.248,nan,1.432,0,0,0.230,-3.714,7.777,-1.167,0.943
10.0,-4.096,9.112,-4.960,0.040,2.740,2,14,0,0.210,0,0,0.808,nan,0.978,0,0,0.210,-4.946,8.629,-1.294,0.758
11.0,-5.945,11.263,-4.923,0.077,2.722,2,14,0,0.240,0,0,2.009,nan,2.006,0,0,0.240,-6.293,9.287,-1.393,0.556
12.0,-7.865,13.163,-4.940,0.060,2.534,2,14,0,0.261,0,0,3.479,nan,3.428,0,0,0.261,-7.722,9.737,-1.461,0.342
13.0,-9.711,14.682,-4.956,0.044,2.212,2,14,0,0.361,0,0,4.823,nan,4.741,0,0,0.361,-9.203,9.968,-1.495,0.120
14.0,-11.418,15.845,-4.995,0.005,1.840,2,14,0,0.237,0,0,6.000,nan,5.913,0,0,0.237,-10.701,9.975,-1.496,-0.105
15.0,-12.823,16.638,-5.019,-0.019,1.422,2,14,0,0.213,0,0,6.993,nan,6.909,0,0,0.213,-12.184,9.759,-1.464,-0.328
16.0,-14.015,16.987,-5.012,-0.012,1.060,2,14,0,0.202,0,0,7.752,nan,7.675,0,0,0.202,-13.618,9.323,-1.398,-0.543
17.0,-15.098,16.960,-4.951,0.049,0.954,2,14,0,0.228,0,0,8.355,nan,8.284,0,0,0.228,-14.971,8.677,-1.302,-0.746
18.0,-16.160,16.509,-4.996,0.004,1.089,2,14,0,0.201,0,0,8.741,nan,8.672,0,0,0.201,-16.211,7.837,-1.176,-0.932
19.0,-17.578,15.314,-4.987,0.013,1.461,2,14,0,0.185,0,0,8.580,nan,8.497,0,0,0.185,-17.313,6.821,-1.023,-1.097
20.0,-18.459,13.999,-4.976,0.024,1.720,2,14,0,0.172,0,0,8.446,nan,8.350,0,0,0.172,-18.250,5.651,-0.848,-1.238
21.0,-19.054,12.279,-4.985,0.015,2.085,2,14,0,0.196,0,0,8.024,nan,7.924,0,0,0.196,-19.002,4.355,-0.653,-1.350
22.0,-19.500,10.182,-4.997,0.003,2.499,2,14,0,0.210,0,0,7.306,nan,7.221,0,0,0.210,-19.552,2.961,-0.444,-1.433
23.0,-19.855,7.559,-5.016,-0.016,2.953,2,14,0,0.201,0,0,6.174,nan,6.059,0,0,0.201,-19.887,1.500,-0.225,-1.483
24.0,-20.030,4.562,-4.971,0.029,3.109,2,14,0,0.256,0,0,4.677,nan,4.556,0,0,0.256,-20.000,0.006,-0.001,-1.500
25.0,-19.953,1.529,-4.968,0.032,3.118,2,14,0,0.249,0,0,3.146,nan,3.018,0,0,0.249,-19.889,-1.489,0.223,-1.483
26.0,-19.610,-1.463,-5.031,-0.031,3.100,2,14,0,0.246,0,0,1.604,nan,1.488,0,0,0.246,-19.555,-2.950,0.442,-1.433
27.0,-19.058,-4.377,-5.027,-0.027,3.019,2,14,0,0.198,0,0,0.323,nan,0.060,0,0,0.198,-19.007,-4.344,0.652,-1.351
