t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,0.254,0.083,-0.659,4.341,0.015,2,14,0,0.231,0,0,0.099,nan,0.267,0,0,0.231,0.000,0.000,0.000,0.000
2.0,0.342,0.075,-1.068,3.932,0.095,2,14,0,0.199,0,0,0.061,nan,0.350,0,0,0.199,0.000,0.000,0.000,0.000
3.0,0.391,0.220,-2.105,2.895,0.097,2,14,0,0.277,0,0,0.098,nan,0.449,0,0,0.277,0.000,0.000,0.000,0.000
4.0,0.406,0.236,-3.260,1.740,0.036,2,14,0,0.286,0,0,0.121,nan,0.470,0,0,0.286,0.000,0.000,0.000,0.000
5.0,0.352,0.168,-4.345,0.655,0.099,2,14,0,0.145,0,0,0.036,nan,0.390,0,0,0.145,0.000,0.000,0.000,0.000
6.0,0.242,0.082,-4.755,0.245,0.104,2,14,0,0.157,0,0,0.110,nan,0.255,0,0,0.157,0.000,0.000,0.000,0.000
7.0,0.229,0.088,-4.860,0.140,0.021,2,14,0,0.268,0,0,0.120,nan,0.245,0,0,0.268,0.000,0.000,0.000,0.000
8.0,0.212,0.073,-4.938,0.062,0.039,2,14,0,0.166,0,0,0.142,nan,0.224,0,0,0.166,0.000,0.000,0.000,0.000
9.0,0.350,0.110,-4.977,0.023,0.084,2,14,0,0.148,0,0,0.029,nan,0.367,0,0,0.148,0.000,0.000,0.000,0.000
10.0,0.455,0.132,-4.918,0.082,0.048,2,14,0,0.132,0,0,0.117,nan,0.473,0,0,0.132,0.000,0.000,0.000,0.000
11.0,0.406,0.130,-5.003,-0.003,0.036,2,14,0,0.169,0,0,0.069,nan,0.426,0,0,0.169,0.000,0.000,0.000,0.000
12.0,0.304,0.145,-5.029,-0.029,0.046,2,14,0,0.147,0,0,0.035,nan,0.336,0,0,0.147,0.000,0.000,0.000,0.000
13.0,0.271,0.138,-5.033,-0.033,0.014,2,14,0,0.137,0,0,0.067,nan,0.304,0,0,0.137,0.000,0.000,0.000,0.000
14.0,0.330,0.154,-4.960,0.040,0.019,2,14,0,0.138,0,0,0.019,nan,0.364,0,0,0.138,0.000,0.000,0.000,0.000
15.0,0.316,0.144,-5.002,-0.002,0.008,2,14,0,0.118,0,0,0.023,nan,0.347,0,0,0.118,0.000,0.000,0.000,0.000
