t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,-17.540,11.611,-4.936,0.064,2.829,2,14,0,0.228,0,0,10.828,-20.765,13.892,-4.202,0.798,2.725,2,14,0,0.229,0,0,10.468,-23.829,9.249,-4.068,0.932,2.817,2,14,0,0.280,0,0,11.381,4.018,11.225,0,0,0.280,-19.962,0.875,-0.131,-1.494
2.0,-17.133,8.832,-4.988,0.012,3.085,2,14,0,0.205,0,0,9.545,-21.053,11.290,-4.198,0.802,3.040,2,14,0,0.203,0,0,9.365,-23.231,6.419,-4.033,0.967,3.113,2,14,0,0.285,0,0,9.962,4.694,9.798,0,0,0.285,-19.981,-0.624,0.094,-1.497
3.0,-16.776,6.134,-5.001,-0.001,3.086,2,14,0,0.201,0,0,8.336,-21.098,8.536,-4.238,0.762,3.101,2,14,0,0.238,0,0,8.102,-22.310,3.604,-4.017,0.983,3.141,2,14,0,0.208,0,0,8.549,5.003,8.374,0,0,0.238,-19.775,-2.108,0.316,-1.466
4.0,-16.395,3.339,-5.001,-0.001,3.095,2,14,0,0.199,0,0,7.000,-20.758,5.636,-4.208,0.792,3.112,2,14,0,0.205,0,0,6.646,-21.056,0.837,-4.042,0.958,3.143,2,14,0,0.236,0,0,7.201,4.811,6.983,0,0,0.236,-19.350,-3.545,0.532,-1.403
5.0,-15.887,0.627,-5.036,-0.036,3.078,2,14,0,0.233,0,0,5.641,-20.086,2.776,-4.198,0.802,3.116,2,14,0,0.289,0,0,5.146,-19.790,-1.865,-4.048,0.952,3.115,2,14,0,0.447,0,0,5.889,4.653,5.652,0,0,0.447,-18.716,-4.903,0.735,-1.307
6.0,-15.248,-2.056,-5.011,-0.011,3.067,2,14,0,0.279,0,0,4.204,-19.108,-0.109,-4.150,0.850,3.119,2,14,0,0.246,0,0,3.504,-18.743,-4.466,-4.003,0.997,3.056,2,14,0,0.289,0,0,4.561,4.363,4.330,0,0,0.289,-17.885,-6.150,0.923,-1.183
7.0,-14.345,-4.696,-5.004,-0.004,3.064,2,14,0,0.257,0,0,2.656,-18.023,-2.877,-4.179,0.821,3.098,2,14,0,0.204,0,0,1.847,-17.876,-7.035,-4.027,0.973,3.019,2,14,0,0.285,0,0,3.107,4.164,2.867,0,0,0.285,-16.878,-7.259,1.089,-1.032
8.0,-13.333,-7.414,-5.020,-0.020,3.078,2,14,0,0.261,0,0,0.955,-16.838,-5.634,-4.097,0.903,3.022,2,14,0,0.228,0,0,0.103,-17.181,-9.567,-4.005,0.995,3.013,2,14,0,0.185,0,0,1.464,3.949,1.237,0,0,0.261,-15.715,-8.206,1.231,-0.857
9.0,-11.999,-9.994,-5.035,-0.035,3.013,2,14,0,0.257,0,0,0.974,-15.472,-8.152,-4.187,0.813,2.886,2,14,0,0.230,0,0,1.720,-16.434,-12.076,-4.069,0.931,2.854,2,14,0,0.236,0,0,0.425,4.022,1.839,0,0,0.257,-14.425,-8.968,1.345,-0.664
10.0,-10.464,-12.448,-4.971,0.029,2.916,2,14,0,0.222,0,0,2.816,-14.005,-10.448,-4.167,0.833,2.703,2,14,0,0.309,0,0,3.453,-15.530,-14.479,-4.033,0.967,2.731,2,14,0,0.262,0,0,2.265,4.145,3.557,0,0,0.309,-13.035,-9.528,1.429,-0.455
11.0,-8.840,-14.693,-4.946,0.054,2.746,2,14,0,0.318,0,0,4.713,-12.444,-12.430,-4.199,0.801,2.488,2,14,0,0.315,0,0,5.073,-14.260,-16.729,-4.107,0.893,2.697,2,14,0,0.297,0,0,4.157,4.321,5.191,0,0,0.318,-11.577,-9.875,1.481,-0.237
12.0,-7.211,-16.668,-4.955,0.045,2.509,2,14,0,0.259,0,0,6.568,-10.855,-14.068,-4.177,0.823,2.231,2,14,0,0.263,0,0,6.603,-12.555,-18.786,-4.105,0.895,2.744,2,14,0,0.235,0,0,6.005,4.544,6.706,0,0,0.263,-10.084,-10.000,1.500,-0.013
13.0,-5.670,-18.317,-5.010,-0.010,2.234,2,14,0,0.230,0,0,8.320,-9.395,-15.475,-4.169,0.831,1.960,2,14,0,0.426,0,0,8.095,-10.575,-20.621,-4.045,0.955,2.698,2,14,0,0.235,0,0,7.907,4.760,8.418,0,0,0.426,-8.589,-9.900,1.485,0.212
14.0,-4.085,-19.680,-5.016,-0.016,1.945,2,14,0,0.236,0,0,10.010,-7.939,-16.494,-4.143,0.857,1.727,2,14,0,0.230,0,0,9.444,-8.529,-22.203,-4.028,0.972,2.442,2,14,0,0.267,0,0,9.795,5.076,10.102,0,0,0.267,-7.125,-9.578,1.437,0.431
15.0,-2.629,-20.619,-4.999,0.001,1.599,2,14,0,0.311,0,0,11.492,-6.452,-17.126,-4.174,0.826,1.510,2,14,0,0.201,0,0,10.615,-6.675,-23.449,-4.063,0.937,2.086,2,14,0,0.266,0,0,11.600,5.025,11.823,0,0,0.311,-5.726,-9.041,1.356,0.641
16.0,-1.337,-21.115,-5.027,-0.027,1.279,2,14,0,0.228,0,0,12.730,-5.101,-17.384,-4.181,0.819,1.311,2,14,0,0.207,0,0,11.613,-5.072,-24.260,-4.010,0.990,1.686,2,14,0,0.272,0,0,13.178,4.987,13.388,0,0,0.272,-4.423,-8.300,1.245,0.837
17.0,-0.243,-21.287,-5.004,-0.004,1.059,2,14,0,0.259,0,0,13.828,-3.966,-17.223,-4.160,0.840,1.214,2,14,0,0.273,0,0,12.377,-3.672,-24.650,-4.008,0.992,1.311,2,14,0,0.239,0,0,14.508,4.905,14.717,0,0,0.273,-3.245,-7.374,1.106,1.013
18.0,0.747,-20.975,-4.956,0.044,1.039,2,14,0,0.203,0,0,14.608,-2.898,-16.633,-4.190,0.810,1.298,2,14,0,0.229,0,0,12.880,-2.600,-24.620,-4.022,0.978,1.017,2,14,0,0.298,0,0,15.574,5.036,15.780,0,0,0.298,-2.219,-6.282,0.942,1.167
19.0,1.564,-20.252,-4.950,0.050,1.204,2,14,0,0.210,0,0,15.125,-2.007,-15.598,-4.193,0.807,1.528,2,14,0,0.243,0,0,13.081,-1.820,-24.174,-3.994,1.006,0.949,2,14,0,0.245,0,0,16.351,5.267,16.560,0,0,0.245,-1.368,-5.048,0.757,1.295
20.0,2.131,-19.043,-4.958,0.042,1.530,2,14,0,0.230,0,0,15.265,-1.270,-14.097,-4.199,0.801,1.859,2,14,0,0.283,0,0,12.931,-1.317,-23.257,-4.063,0.937,1.191,2,14,0,0.265,0,0,16.770,5.518,16.981,0,0,0.283,-0.710,-3.702,0.555,1.393
21.0,2.605,-17.445,-5.002,-0.002,1.937,2,14,0,0.200,0,0,15.086,-0.753,-12.251,-4.148,0.852,2.238,2,14,0,0.253,0,0,12.521,-1.244,-21.828,-4.034,0.966,1.642,2,14,0,0.209,0,0,16.753,5.913,16.966,0,0,0.253,-0.261,-2.272,0.341,1.461
22.0,2.912,-15.328,-5.019,-0.019,2.396,2,14,0,0.203,0,0,14.471,-0.445,-9.775,-4.215,0.785,2.719,2,14,0,0.470,0,0,11.532,-1.448,-19.959,-4.074,0.926,2.141,2,14,0,0.212,0,0,16.356,6.429,16.570,0,0,0.470,-0.031,-0.791,0.119,1.495
23.0,2.866,-12.758,-5.020,-0.020,2.892,2,14,0,0.227,0,0,13.402,-0.515,-6.884,-4.198,0.802,3.075,2,14,0,0.201,0,0,10.141,-1.797,-17.634,-4.121,0.879,2.625,2,14,0,0.208,0,0,15.531,6.806,15.746,0,0,0.227,-0.025,0.708,-0.106,1.496
24.0,2.647,-9.828,-5.028,-0.028,3.116,2,14,0,0.207,0,0,11.957,-0.855,-3.869,-4.210,0.790,3.127,2,14,0,0.204,0,0,8.606,-2.010,-14.866,-4.085,0.915,3.038,2,14,0,0.238,0,0,14.273,6.926,14.461,0,0,0.238,-0.243,2.190,-0.329,1.464
25.0,2.212,-6.791,-5.021,-0.021,3.132,2,14,0,0.241,0,0,10.352,-1.372,-0.876,-4.198,0.802,3.121,2,14,0,0.229,0,0,7.044,-2.203,-11.839,-4.049,0.951,3.139,2,14,0,0.207,0,0,12.659,6.777,12.865,0,0,0.241,-0.680,3.624,-0.544,1.398
26.0,1.569,-3.939,-5.006,-0.006,3.097,2,14,0,0.227,0,0,8.852,-1.957,2.125,-4.188,0.812,3.113,2,14,0,0.226,0,0,5.403,-2.530,-8.716,-4.036,0.964,3.145,2,14,0,0.231,0,0,10.925,6.369,11.098,0,0,0.231,-1.326,4.976,-0.746,1.301
27.0,0.723,-1.089,-4.963,0.037,3.084,2,14,0,0.238,0,0,7.244,-2.733,5.001,-4.215,0.785,3.074,2,14,0,0.255,0,0,3.782,-3.130,-5.776,-4.013,0.987,3.094,2,14,0,0.291,0,0,9.218,6.141,9.410,0,0,0.291,-2.167,6.216,-0.932,1.175
28.0,-0.308,1.740,-4.936,0.064,3.084,2,14,0,0.230,0,0,5.516,-3.670,7.807,-4.169,0.831,3.063,2,14,0,0.324,0,0,2.117,-3.916,-2.936,-3.959,1.041,3.071,2,14,0,0.237,0,0,7.537,5.986,7.694,0,0,0.324,-3.184,7.317,-1.098,1.022
29.0,-1.433,4.561,-4.967,0.033,3.074,2,14,0,0.302,0,0,3.635,-4.836,10.439,-4.171,0.829,2.960,2,14,0,0.222,0,0,0.628,-5.044,-0.235,-4.006,0.994,3.058,2,14,0,0.310,0,0,5.776,6.080,5.946,0,0,0.310,-4.354,8.253,-1.238,0.847
30.0,-2.747,7.273,-5.021,-0.021,3.067,2,14,0,0.177,0,0,1.681,-6.345,12.892,-4.208,0.792,2.849,2,14,0,0.250,0,0,1.374,-6.440,2.419,-4.025,0.975,3.055,2,14,0,0.258,0,0,3.915,6.180,4.051,0,0,0.258,-5.651,9.005,-1.351,0.652
31.0,-4.238,9.942,-4.971,0.029,2.991,2,14,0,0.261,0,0,0.475,-7.961,15.058,-4.178,0.822,2.648,2,14,0,0.250,0,0,2.957,-7.948,4.962,-3.999,1.001,3.048,2,14,0,0.209,0,0,1.958,6.286,2.965,0,0,0.261,-7.045,9.553,-1.433,0.443
32.0,-5.893,12.345,-4.991,0.009,2.831,2,14,0,0.309,0,0,2.528,-9.585,16.918,-4.205,0.795,2.386,2,14,0,0.383,0,0,4.480,-9.695,7.478,-4.082,0.918,3.026,2,14,0,0.261,0,0,0.615,5.930,4.453,0,0,0.383,-8.506,9.888,-1.483,0.224
33.0,-7.530,14.417,-5.006,-0.006,2.567,2,14,0,0.290,0,0,4.494,-11.156,18.501,-4.166,0.834,2.106,2,14,0,0.259,0,0,5.950,-11.602,9.670,-4.013,0.987,2.841,2,14,0,0.314,0,0,2.456,5.525,5.913,0,0,0.314,-10.000,10.000,-1.500,-0.000
34.0,-9.079,16.168,-4.943,0.057,2.269,2,14,0,0.256,0,0,6.361,-12.646,19.718,-4.138,0.862,1.834,2,14,0,0.221,0,0,7.278,-13.362,11.625,-4.089,0.911,2.515,2,14,0,0.313,0,0,4.510,5.096,7.241,0,0,0.313,-11.495,9.888,-1.483,-0.224
35.0,-10.627,17.599,-4.954,0.046,1.960,2,14,0,0.455,0,0,8.131,-14.203,20.585,-4.180,0.820,1.604,2,14,0,0.231,0,0,8.480,-15.020,13.261,-4.019,0.981,2.140,2,14,0,0.235,0,0,6.501,4.723,8.438,0,0,0.455,-12.955,9.553,-1.433,-0.443
36.0,-12.137,18.609,-4.990,0.010,1.612,2,14,0,0.230,0,0,9.705,-15.543,21.066,-4.228,0.772,1.390,2,14,0,0.233,0,0,9.508,-16.368,14.562,-4.013,0.987,1.721,2,14,0,0.233,0,0,8.345,4.268,9.637,0,0,0.233,-14.350,9.004,-1.351,-0.652
37.0,-13.398,19.270,-5.026,-0.026,1.253,2,14,0,0.257,0,0,11.110,-16.880,21.089,-4.158,0.842,1.311,2,14,0,0.218,0,0,10.282,-17.557,15.480,-4.043,0.957,1.362,2,14,0,0.213,0,0,10.002,4.024,11.043,0,0,0.257,-15.647,8.253,-1.238,-0.847
38.0,-14.511,19.470,-4.966,0.034,0.997,2,14,0,0.254,0,0,12.247,-18.087,20.688,-4.195,0.805,1.359,2,14,0,0.210,0,0,10.818,-18.567,16.029,-4.032,0.968,1.104,2,14,0,0.257,0,0,11.492,3.856,12.173,0,0,0.257,-16.817,7.317,-1.098,-1.022
39.0,-15.412,19.278,-5.049,-0.049,0.957,2,14,0,0.251,0,0,13.156,-19.182,19.819,-4.183,0.817,1.546,2,14,0,0.197,0,0,11.053,-19.572,16.168,-3.989,1.011,1.004,2,14,0,0.282,0,0,12.732,3.677,13.075,0,0,0.282,-17.833,6.216,-0.932,-1.175
40.0,-16.156,18.697,-5.046,-0.046,1.149,2,14,0,0.407,0,0,13.818,-20.095,18.483,-4.208,0.792,1.829,2,14,0,0.198,0,0,10.961,-20.478,15.809,-4.026,0.974,1.057,2,14,0,0.237,0,0,13.615,2.708,13.730,0,0,0.407,-18.674,4.976,-0.746,-1.301
