t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,3.137,0.076,0.323,5.323,0.032,2,14,0,0.239,0,0,0.096,nan,nan,nan,nan,nan,0,0,0,0.261,0,0,0.057,-1.585,-2.541,-0.869,4.131,0.051,2,14,0,0.226,0,0,0.111,5.529,nan,0,0,0.261,-0.000,0.035,-0.001,0.168
2.0,3.194,0.196,-0.256,4.744,0.299,2,14,0,0.233,0,0,0.351,-1.316,2.551,-0.396,4.604,0.217,2,14,0,0.305,0,0,0.305,-1.604,-2.553,-1.525,3.475,0.210,2,14,0,0.298,0,0,0.311,5.089,0.490,0,0,0.305,-0.008,0.403,-0.023,0.568
3.0,3.284,0.693,-1.441,3.559,0.663,2,14,0,0.231,0,0,0.647,-1.296,2.982,-1.498,3.502,0.608,2,14,0,0.322,0,0,0.644,-1.647,-2.206,-2.564,2.436,0.574,2,14,0,0.274,0,0,0.724,5.121,0.831,0,0,0.322,-0.069,1.169,-0.113,0.961
4.0,3.159,1.552,-2.719,2.281,1.031,2,14,0,0.371,0,0,0.945,-1.253,3.695,-2.762,2.238,0.943,2,14,0,0.319,0,0,1.125,-1.701,-1.478,-3.767,1.233,0.927,2,14,0,0.285,0,0,1.163,4.906,1.326,0,0,0.371,-0.272,2.318,-0.317,1.331
5.0,2.948,2.777,-4.077,0.923,1.455,2,14,0,0.243,0,0,1.307,-1.329,4.859,-3.977,1.023,1.392,2,14,0,0.285,0,0,1.589,-1.781,-0.403,-4.538,0.462,1.305,2,14,0,0.275,0,0,1.678,4.758,1.803,0,0,0.285,-0.754,3.809,-0.673,1.635
6.0,2.495,4.526,-4.635,0.365,1.969,2,14,0,0.244,0,0,1.530,-1.705,6.501,-4.661,0.339,1.878,2,14,0,0.231,0,0,1.957,-2.079,1.064,-4.808,0.192,1.757,2,14,0,0.250,0,0,2.179,4.641,2.169,0,0,0.250,-1.657,5.514,-1.103,1.669
7.0,1.843,6.619,-4.833,0.167,2.397,2,14,0,0.294,0,0,1.740,-2.218,8.539,-4.815,0.185,2.369,2,14,0,0.450,0,0,2.261,-2.559,3.040,-4.895,0.105,2.283,2,14,0,0.248,0,0,2.441,4.493,2.469,0,0,0.450,-2.919,7.061,-1.412,1.416
8.0,0.880,8.985,-4.862,0.138,2.518,2,14,0,0.313,0,0,2.267,-3.048,10.935,-4.932,0.068,2.548,2,14,0,0.286,0,0,2.746,-3.310,5.458,-4.931,0.069,2.597,2,14,0,0.246,0,0,2.821,4.385,2.915,0,0,0.313,-4.463,8.327,-1.665,1.107
9.0,-0.585,11.183,-4.917,0.083,2.633,2,14,0,0.321,0,0,3.069,-4.320,13.267,-4.879,0.121,2.641,2,14,0,0.266,0,0,3.575,-4.416,7.941,-4.951,0.049,2.688,2,14,0,0.221,0,0,3.703,4.277,3.687,0,0,0.321,-6.228,9.261,-1.852,0.754
10.0,-2.594,13.343,-4.958,0.042,2.839,2,14,0,0.302,0,0,4.135,-6.183,15.474,-4.875,0.125,2.819,2,14,0,0.291,0,0,4.564,-6.088,10.375,-4.950,0.050,2.851,2,14,0,0.323,0,0,4.881,4.175,4.748,0,0,0.323,-8.143,9.826,-1.965,0.371
