t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,3.082,0.132,0.134,5.134,0.037,2,14,0,0.308,0,0,0.079,-1.763,2.633,-0.849,4.151,0.035,2,14,0,0.299,0,0,0.172,-1.345,-2.566,-0.411,4.589,0.051,2,14,0,0.221,0,0,0.017,5.213,0.263,0,0,0.308,-0.000,0.022,-0.000,0.114
2.0,3.065,0.272,-0.543,4.457,0.236,2,14,0,0.289,0,0,0.182,-1.589,2.661,-1.607,3.393,0.192,2,14,0,0.226,0,0,0.194,-1.211,-2.570,-1.022,3.978,0.123,2,14,0,0.223,0,0,0.285,5.157,0.390,0,0,0.289,-0.004,0.286,-0.012,0.414
3.0,3.129,0.587,-1.701,3.299,0.440,2,14,0,0.555,0,0,0.446,-1.447,2.995,-2.704,2.296,0.460,2,14,0,0.357,0,0,0.465,-1.137,-2.286,-2.164,2.836,0.426,2,14,0,0.460,0,0,0.586,5.164,0.669,0,0,0.555,-0.036,0.849,-0.061,0.711
4.0,3.095,1.192,-2.887,2.113,0.787,2,14,0,0.303,0,0,0.711,-1.390,3.595,-3.942,1.058,0.786,2,14,0,0.214,0,0,0.776,-1.111,-1.615,-3.412,1.588,0.811,2,14,0,0.282,0,0,0.821,5.084,0.899,0,0,0.303,-0.146,1.705,-0.173,0.999
5.0,3.130,2.187,-4.080,0.920,1.173,2,14,0,0.213,0,0,0.978,-1.462,4.588,-4.579,0.421,1.174,2,14,0,0.238,0,0,0.992,-1.150,-0.570,-4.401,0.599,1.220,2,14,0,0.195,0,0,1.013,5.101,1.112,0,0,0.238,-0.411,2.838,-0.373,1.260
6.0,3.051,3.687,-4.627,0.373,1.647,2,14,0,0.223,0,0,1.165,-1.656,5.943,-4.776,0.224,1.623,2,14,0,0.236,0,0,1.193,-1.402,0.926,-4.727,0.273,1.709,2,14,0,0.248,0,0,1.101,5.024,1.214,0,0,0.248,-0.919,4.187,-0.628,1.362
7.0,2.645,5.534,-4.809,0.191,1.932,2,14,0,0.212,0,0,1.284,-2.111,7.816,-4.961,0.039,2.012,2,14,0,0.237,0,0,1.169,-1.898,2.788,-4.853,0.147,2.015,2,14,0,0.219,0,0,1.099,5.034,1.292,0,0,0.237,-1.646,5.497,-0.825,1.253
8.0,1.850,7.463,-4.917,0.083,1.995,2,14,0,0.277,0,0,1.529,-2.982,9.785,-4.911,0.089,2.105,2,14,0,0.233,0,0,1.294,-2.853,4.755,-4.971,0.029,2.115,2,14,0,0.249,0,0,1.245,5.033,1.612,0,0,0.277,-2.562,6.684,-1.003,1.116
9.0,0.626,9.358,-4.934,0.066,2.130,2,14,0,0.282,0,0,1.933,-4.384,11.623,-4.943,0.057,2.238,2,14,0,0.257,0,0,1.582,-4.309,6.583,-4.887,0.113,2.258,2,14,0,0.221,0,0,1.606,5.040,2.073,0,0,0.282,-3.644,7.720,-1.158,0.953
10.0,-1.206,11.073,-4.919,0.081,2.340,2,14,0,0.255,0,0,2.413,-6.176,13.365,-4.944,0.056,2.338,2,14,0,0.236,0,0,2.222,-6.127,8.201,-4.954,0.046,2.279,2,14,0,0.276,0,0,2.210,5.164,2.576,0,0,0.276,-4.869,8.583,-1.287,0.770
11.0,-3.417,12.551,-4.975,0.025,2.334,2,14,0,0.324,0,0,3.138,-8.188,14.830,-4.992,0.008,2.222,2,14,0,0.258,0,0,3.007,-8.127,9.627,-5.039,-0.039,2.123,2,14,0,0.247,0,0,3.006,5.203,3.303,0,0,0.324,-6.209,9.254,-1.388,0.569
12.0,-5.601,13.667,-4.925,0.075,2.106,2,14,0,0.302,0,0,3.910,-10.222,15.887,-5.003,-0.003,1.963,2,14,0,0.261,0,0,3.715,-10.086,10.534,-4.956,0.044,1.831,2,14,0,0.246,0,0,3.576,5.127,4.067,0,0,0.302,-7.635,9.716,-1.457,0.355
13.0,-7.746,14.243,-4.962,0.038,1.859,2,14,0,0.261,0,0,4.436,-12.113,16.492,-4.976,0.024,1.665,2,14,0,0.234,0,0,4.190,-11.858,10.960,-5.009,-0.009,1.522,2,14,0,0.365,0,0,3.854,4.912,4.583,0,0,0.365,-9.113,9.961,-1.494,0.133
14.0,-9.777,14.238,-4.986,0.014,1.638,2,14,0,0.276,0,0,4.640,-13.751,16.554,-5.039,-0.039,1.375,2,14,0,0.313,0,0,4.286,-13.408,10.982,-4.978,0.022,1.261,2,14,0,0.329,0,0,3.881,4.600,4.776,0,0,0.329,-10.612,9.981,-1.497,-0.092
15.0,-11.487,13.767,-4.977,0.023,1.489,2,14,0,0.300,0,0,4.526,-15.189,16.170,-4.977,0.023,1.199,2,14,0,0.317,0,0,4.108,-14.665,10.492,-4.971,0.029,1.107,2,14,0,0.253,0,0,3.542,4.413,4.651,0,0,0.317,-12.096,9.778,-1.467,-0.314
16.0,-13.002,12.790,-5.016,-0.016,1.520,2,14,0,0.302,0,0,4.117,-16.289,15.342,-5.046,-0.046,1.205,2,14,0,0.263,0,0,3.617,-15.736,9.510,-4.988,0.012,1.241,2,14,0,0.271,0,0,2.897,4.161,4.230,0,0,0.302,-13.534,9.355,-1.403,-0.530
17.0,-14.126,11.335,-5.070,-0.070,1.711,2,14,0,0.318,0,0,3.339,-17.085,14.030,-4.994,0.006,1.492,2,14,0,0.295,0,0,2.825,-16.532,8.085,-4.997,0.003,1.634,2,14,0,0.221,0,0,2.000,4.002,3.438,0,0,0.318,-14.892,8.722,-1.308,-0.734
18.0,-14.911,9.406,-5.014,-0.014,2.073,2,14,0,0.228,0,0,2.253,-17.745,12.351,-4.993,0.007,1.951,2,14,0,0.211,0,0,1.919,-17.319,6.348,-4.973,0.027,2.100,2,14,0,0.200,0,0,1.102,3.893,2.329,0,0,0.228,-16.141,7.893,-1.184,-0.921
19.0,-15.215,8.362,-4.983,0.017,2.217,2,14,0,0.194,0,0,1.725,-18.071,11.488,-4.973,0.027,2.172,2,14,0,0.230,0,0,1.546,-17.745,5.491,-4.993,0.007,2.224,2,14,0,0.169,0,0,0.767,3.827,1.777,0,0,0.230,-16.715,7.410,-1.112,-1.007
20.0,-15.479,6.122,-4.922,0.078,2.164,2,14,0,0.225,0,0,0.818,-18.964,9.394,-5.012,-0.012,2.468,2,14,0,0.182,0,0,0.648,-18.777,3.690,-5.037,-0.037,2.239,2,14,0,0.221,0,0,0.316,4.099,0.760,0,0,0.225,-17.747,6.324,-0.949,-1.162
21.0,-15.392,4.014,-4.956,0.044,2.046,2,14,0,0.228,0,0,1.220,-20.002,7.483,-5.028,-0.028,2.336,2,14,0,0.198,0,0,0.265,-19.629,2.021,-4.976,0.024,2.046,2,14,0,0.196,0,0,0.559,4.683,1.102,0,0,0.228,-18.605,5.095,-0.764,-1.291
22.0,-15.227,2.255,-4.963,0.037,1.843,2,14,0,0.218,0,0,1.920,-20.797,5.701,-4.979,0.021,2.070,2,14,0,0.206,0,0,0.610,-20.298,0.672,-5.016,-0.016,1.757,2,14,0,0.165,0,0,0.563,5.054,1.824,0,0,0.218,-19.270,3.752,-0.563,-1.390
23.0,-15.109,0.900,-4.998,0.002,1.568,2,14,0,0.208,0,0,2.236,-21.275,4.164,-4.947,0.053,1.732,2,14,0,0.197,0,0,0.719,-20.975,-0.458,-4.986,0.014,1.561,2,14,0,0.170,0,0,0.195,4.632,2.155,0,0,0.208,-19.726,2.324,-0.349,-1.459
24.0,-15.266,0.009,-5.043,-0.043,1.285,2,14,0,0.220,0,0,1.947,-21.550,2.883,-4.991,0.009,1.421,2,14,0,0.178,0,0,0.520,-21.449,-1.614,-4.990,0.010,1.486,2,14,0,0.166,0,0,0.211,4.498,1.893,0,0,0.220,-19.964,0.845,-0.127,-1.495
25.0,-15.587,-0.539,-4.965,0.035,1.217,2,14,0,0.196,0,0,1.382,-21.657,1.640,-5.026,-0.026,1.288,2,14,0,0.184,0,0,0.277,-21.604,-2.982,-4.946,0.054,1.569,2,14,0,0.168,0,0,0.405,4.623,1.396,0,0,0.196,-19.979,-0.654,0.098,-1.497
26.0,-16.301,-1.077,-4.976,0.024,1.369,2,14,0,0.228,0,0,1.018,-21.445,0.422,-5.006,-0.006,1.317,2,14,0,0.182,0,0,0.081,-21.639,-4.481,-4.998,0.002,1.691,2,14,0,0.197,0,0,0.598,4.907,1.159,0,0,0.228,-19.769,-2.137,0.321,-1.465
27.0,-17.068,-1.932,-4.984,0.016,1.452,2,14,0,0.265,0,0,1.673,-21.171,-0.847,-4.990,0.010,1.447,2,14,0,0.207,0,0,0.291,-21.328,-6.180,-4.998,0.002,1.820,2,14,0,0.198,0,0,0.655,4.244,1.795,0,0,0.265,-19.340,-3.573,0.536,-1.401
28.0,-17.628,-3.214,-4.971,0.029,1.690,2,14,0,0.242,0,0,2.503,-20.719,-2.253,-5.056,-0.056,1.607,2,14,0,0.177,0,0,0.441,-20.658,-7.876,-5.003,-0.003,1.858,2,14,0,0.492,0,0,0.708,3.237,2.580,0,0,0.492,-18.701,-4.929,0.739,-1.305
29.0,-18.124,-4.979,-4.962,0.038,2.049,2,14,0,0.245,0,0,3.439,-20.014,-3.681,-4.973,0.027,1.733,2,14,0,0.194,0,0,0.560,-19.695,-9.440,-4.931,0.069,1.837,2,14,0,0.221,0,0,0.821,2.293,3.470,0,0,0.245,-17.867,-6.174,0.926,-1.180
30.0,-18.355,-7.127,-4.960,0.040,2.110,2,14,0,0.253,0,0,4.518,-18.938,-5.051,-4.992,0.008,1.808,2,14,0,0.207,0,0,0.594,-18.483,-10.714,-5.038,-0.038,1.802,2,14,0,0.196,0,0,0.875,2.157,4.502,0,0,0.253,-16.856,-7.280,1.092,-1.028
31.0,-18.315,-9.195,-5.007,-0.007,2.001,2,14,0,0.224,0,0,5.753,-17.631,-6.195,-5.018,-0.018,1.809,2,14,0,0.208,0,0,0.640,-17.029,-11.705,-5.075,-0.075,1.739,2,14,0,0.278,0,0,0.873,2.821,5.708,0,0,0.278,-15.691,-8.223,1.233,-0.854
32.0,-17.856,-11.125,-5.049,-0.049,1.940,2,14,0,0.254,0,0,6.874,-16.161,-7.014,-5.001,-0.001,1.777,2,14,0,0.261,0,0,0.622,-15.521,-12.372,-5.025,-0.025,1.616,2,14,0,0.220,0,0,0.811,2.647,6.805,0,0,0.261,-14.398,-8.981,1.347,-0.660
33.0,-16.904,-12.939,-4.995,0.005,2.000,2,14,0,0.250,0,0,7.779,-14.551,-7.526,-4.964,0.036,1.738,2,14,0,0.183,0,0,0.555,-14.001,-12.648,-5.012,-0.012,1.525,2,14,0,0.169,0,0,0.607,2.918,7.690,0,0,0.250,-13.007,-9.537,1.431,-0.451
34.0,-15.450,-14.542,-5.036,-0.036,2.161,2,14,0,0.274,0,0,8.438,-12.861,-7.823,-5.013,-0.013,1.672,2,14,0,0.180,0,0,0.577,-12.522,-12.694,-4.944,0.056,1.539,2,14,0,0.180,0,0,0.410,3.463,8.329,0,0,0.274,-11.548,-9.880,1.482,-0.232
35.0,-13.484,-15.878,-5.014,-0.014,2.439,2,14,0,0.300,0,0,8.837,-11.180,-7.820,-5.030,-0.030,1.576,2,14,0,0.180,0,0,0.593,-10.998,-12.576,-4.908,0.092,1.493,2,14,0,0.173,0,0,0.383,4.134,8.711,0,0,0.300,-10.054,-10.000,1.500,-0.008
36.0,-10.956,-16.937,-4.981,0.019,2.831,2,14,0,0.231,0,0,9.014,-9.724,-7.523,-5.012,-0.012,1.447,2,14,0,0.203,0,0,0.467,-9.677,-12.353,-5.005,-0.005,1.398,2,14,0,0.218,0,0,0.253,4.759,8.872,0,0,0.231,-8.559,-9.896,1.484,0.216
37.0,-7.933,-17.618,-5.003,-0.003,3.107,2,14,0,0.217,0,0,9.073,-8.461,-7.041,-5.020,-0.020,1.393,2,14,0,0.180,0,0,0.227,-8.444,-12.133,-5.027,-0.027,1.375,2,14,0,0.169,0,0,0.042,5.092,8.916,0,0,0.217,-7.096,-9.569,1.435,0.436
38.0,-4.753,-17.907,-4.998,0.002,3.131,2,14,0,0.278,0,0,9.280,-7.245,-6.453,-4.984,0.016,1.412,2,14,0,0.180,0,0,0.041,-7.104,-11.768,-5.036,-0.036,1.469,2,14,0,0.165,0,0,0.162,5.317,9.113,0,0,0.278,-5.699,-9.028,1.354,0.645
39.0,-1.649,-17.717,-5.065,-0.065,3.097,2,14,0,0.254,0,0,9.597,-5.992,-5.773,-5.066,-0.066,1.477,2,14,0,0.189,0,0,0.071,-5.724,-11.194,-4.972,0.028,1.562,2,14,0,0.173,0,0,0.314,5.428,9.436,0,0,0.254,-4.398,-8.284,1.243,0.840
40.0,1.327,-17.022,-4.978,0.022,3.035,2,14,0,0.252,0,0,9.952,-4.782,-4.980,-4.964,0.036,1.532,2,14,0,0.180,0,0,0.203,-4.412,-10.327,-5.018,-0.018,1.641,2,14,0,0.164,0,0,0.404,5.361,9.792,0,0,0.252,-3.223,-7.354,1.103,1.017
41.0,4.087,-15.794,-4.945,0.055,3.036,2,14,0,0.297,0,0,10.232,-3.575,-4.012,-4.990,0.010,1.597,2,14,0,0.174,0,0,0.398,-3.168,-9.202,-5.021,-0.021,1.694,2,14,0,0.166,0,0,0.504,5.206,10.086,0,0,0.297,-2.200,-6.258,0.939,1.170
42.0,6.600,-14.091,-5.016,-0.016,3.086,2,14,0,0.227,0,0,10.470,-2.594,-2.831,-4.992,0.008,1.632,2,14,0,0.185,0,0,0.521,-2.173,-7.916,-4.988,0.012,1.688,2,14,0,0.169,0,0,0.593,5.102,10.333,0,0,0.227,-1.353,-5.022,0.753,1.297
43.0,8.811,-11.939,-5.009,-0.009,3.099,2,14,0,0.231,0,0,10.642,-1.796,-1.419,-5.029,-0.029,1.679,2,14,0,0.177,0,0,0.593,-1.474,-6.439,-5.030,-0.030,1.680,2,14,0,0.171,0,0,0.585,5.030,10.521,0,0,0.231,-0.699,-3.674,0.551,1.395
44.0,10.564,-9.414,-4.936,0.064,3.098,2,14,0,0.285,0,0,10.713,-1.361,0.154,-5.023,-0.023,1.698,2,14,0,0.172,0,0,0.522,-1.068,-4.827,-5.030,-0.030,1.665,2,14,0,0.166,0,0,0.523,4.990,10.610,0,0,0.285,-0.255,-2.243,0.336,1.462
45.0,11.889,-6.660,-4.949,0.051,3.090,2,14,0,0.232,0,0,10.775,-1.124,1.802,-5.048,-0.048,1.708,2,14,0,0.169,0,0,0.501,-0.927,-3.289,-4.976,0.024,1.618,2,14,0,0.167,0,0,0.445,5.095,10.693,0,0,0.232,-0.029,-0.761,0.114,1.496
46.0,12.716,-3.769,-5.039,-0.039,3.088,2,14,0,0.251,0,0,10.790,-1.094,3.437,-5.081,-0.081,1.661,2,14,0,0.182,0,0,0.545,-1.020,-1.769,-4.937,0.063,1.588,2,14,0,0.171,0,0,0.357,5.208,10.735,0,0,0.251,-0.027,0.737,-0.111,1.496
47.0,13.129,-0.795,-5.012,-0.012,3.071,2,14,0,0.256,0,0,10.839,-1.381,4.992,-4.996,0.004,1.627,2,14,0,0.223,0,0,0.507,-1.256,-0.310,-5.041,-0.041,1.589,2,14,0,0.172,0,0,0.340,5.304,10.807,0,0,0.256,-0.249,2.220,-0.333,1.463
48.0,13.153,2.159,-4.993,0.007,3.056,2,14,0,0.278,0,0,10.960,-1.938,6.501,-5.002,-0.002,1.610,2,14,0,0.189,0,0,0.447,-1.701,1.147,-4.993,0.007,1.626,2,14,0,0.171,0,0,0.342,5.359,10.946,0,0,0.278,-0.691,3.652,-0.548,1.396
49.0,12.783,5.081,-5.010,-0.010,2.998,2,14,0,0.251,0,0,11.111,-2.631,7.830,-4.943,0.057,1.554,2,14,0,0.185,0,0,0.399,-2.304,2.594,-4.985,0.015,1.614,2,14,0,0.170,0,0,0.423,5.247,11.124,0,0,0.251,-1.341,5.002,-0.750,1.299
50.0,11.920,7.903,-5.057,-0.057,2.921,2,14,0,0.247,0,0,11.194,-3.422,9.016,-4.989,0.011,1.531,2,14,0,0.178,0,0,0.419,-3.069,3.872,-4.975,0.025,1.596,2,14,0,0.168,0,0,0.514,5.156,11.230,0,0,0.247,-2.186,6.240,-0.936,1.172
51.0,10.695,10.490,-5.024,-0.024,2.903,2,14,0,0.254,0,0,11.300,-4.440,10.118,-5.015,-0.015,1.586,2,14,0,0.185,0,0,0.424,-4.080,5.061,-4.922,0.078,1.628,2,14,0,0.209,0,0,0.569,5.071,11.347,0,0,0.254,-3.206,7.337,-1.101,1.019
52.0,8.923,12.819,-5.006,-0.006,3.000,2,14,0,0.221,0,0,11.190,-5.744,11.146,-5.038,-0.038,1.656,2,14,0,0.181,0,0,0.386,-5.377,6.028,-4.979,0.021,1.674,2,14,0,0.169,0,0,0.498,5.132,11.261,0,0,0.221,-4.379,8.270,-1.241,0.843
53.0,6.642,14.781,-5.079,-0.079,3.077,2,14,0,0.234,0,0,10.871,-7.213,11.950,-4.984,0.016,1.649,2,14,0,0.170,0,0,0.363,-6.879,6.811,-5.029,-0.029,1.684,2,14,0,0.175,0,0,0.419,5.150,10.958,0,0,0.234,-5.678,9.018,-1.353,0.648
