t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,3.392,-0.210,-0.041,4.959,0.015,2,14,0,0.251,0,0,0.091,-1.388,2.509,0.157,5.157,0.028,2,14,0,0.393,0,0,0.132,-1.257,-2.518,1.261,6.261,0.051,2,14,0,0.258,0,0,0.042,5.149,0.460,0,0,0.393,-0.000,0.032,-0.001,0.160
2.0,3.442,-0.098,-0.692,4.308,0.272,2,14,0,0.225,0,0,0.333,-1.245,2.619,-0.488,4.512,0.269,2,14,0,0.236,0,0,0.291,-1.226,-2.516,0.719,5.719,0.186,2,14,0,0.251,0,0,0.316,5.275,0.664,0,0,0.251,-0.008,0.392,-0.022,0.560
3.0,3.594,0.420,-1.874,3.126,0.633,2,14,0,0.254,0,0,0.615,-1.041,3.040,-1.721,3.279,0.575,2,14,0,0.261,0,0,0.689,-1.182,-2.155,-0.369,4.631,0.563,2,14,0,0.383,0,0,0.723,5.326,0.983,0,0,0.383,-0.066,1.149,-0.110,0.954
4.0,3.619,1.252,-3.154,1.846,1.017,2,14,0,0.566,0,0,0.993,-1.045,3.843,-2.977,2.023,0.976,2,14,0,0.294,0,0,1.079,-1.253,-1.456,-1.711,3.289,0.912,2,14,0,0.251,0,0,1.182,5.339,1.365,0,0,0.566,-0.266,2.291,-0.312,1.324
5.0,3.450,2.489,-4.299,0.701,1.446,2,14,0,0.224,0,0,1.366,-1.214,5.077,-4.184,0.816,1.437,2,14,0,0.298,0,0,1.449,-1.321,-0.297,-3.001,1.999,1.368,2,14,0,0.339,0,0,1.627,5.335,1.753,0,0,0.339,-0.740,3.776,-0.665,1.630
6.0,3.131,4.274,-4.694,0.306,1.968,2,14,0,0.225,0,0,1.702,-1.548,6.722,-4.703,0.297,1.910,2,14,0,0.289,0,0,1.857,-1.614,1.319,-4.209,0.791,1.852,2,14,0,0.256,0,0,2.025,5.280,2.181,0,0,0.289,-1.635,5.480,-1.096,1.673
7.0,2.524,6.490,-4.841,0.159,2.401,2,14,0,0.274,0,0,2.022,-2.153,8.888,-4.859,0.141,2.408,2,14,0,0.323,0,0,2.107,-2.104,3.451,-4.731,0.269,2.363,2,14,0,0.242,0,0,2.277,5.255,2.489,0,0,0.323,-2.891,7.033,-1.407,1.422
8.0,1.511,8.727,-4.925,0.075,2.471,2,14,0,0.238,0,0,2.561,-3.101,11.173,-4.890,0.110,2.520,2,14,0,0.248,0,0,2.615,-2.952,5.868,-4.857,0.143,2.551,2,14,0,0.300,0,0,2.737,5.220,2.982,0,0,0.300,-4.430,8.305,-1.661,1.114
9.0,0.057,10.950,-4.931,0.069,2.598,2,14,0,0.287,0,0,3.358,-4.566,13.445,-4.921,0.079,2.651,2,14,0,0.277,0,0,3.341,-4.252,8.291,-4.915,0.085,2.662,2,14,0,0.325,0,0,3.583,5.063,3.811,0,0,0.325,-6.191,9.246,-1.849,0.762
10.0,-1.817,13.043,-4.884,0.116,2.798,2,14,0,0.289,0,0,4.404,-6.537,15.585,-4.944,0.056,2.852,2,14,0,0.249,0,0,4.307,-6.036,10.566,-5.039,-0.039,2.819,2,14,0,0.271,0,0,4.696,4.896,4.891,0,0,0.289,-8.104,9.819,-1.964,0.379
