t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,2.803,0.014,0.113,5.113,0.059,2,14,0,0.250,0,0,0.100,-2.038,2.680,0.338,5.338,0.041,2,14,-1,0.000,0,0,0.000,-1.704,-2.827,0.248,5.248,0.043,2,14,0,0.291,0,0,0.085,5.329,0.545,0,0,0.291,0.000,0.000,0.000,0.000
2.0,2.786,-0.012,-0.698,4.302,0.082,2,14,0,0.242,0,0,0.084,-1.965,2.729,-0.267,4.733,0.109,2,14,0,0.224,0,1,0.133,-1.582,-2.705,-0.423,4.577,0.154,2,14,0,0.254,0,1,0.097,5.139,0.483,0,0,0.254,0.000,0.000,0.000,0.000
3.0,2.654,0.045,-1.905,3.095,0.084,2,14,0,0.234,0,0,0.063,-1.953,2.832,-0.895,4.105,0.041,2,14,0,0.242,0,0,0.176,-1.570,-2.690,-1.032,3.968,0.030,2,14,0,0.285,0,0,0.116,5.108,0.510,0,0,0.285,0.000,0.000,0.000,0.000
4.0,2.562,0.039,-3.119,1.881,0.030,2,14,0,0.322,0,0,0.147,-2.083,2.795,-2.163,2.837,0.130,2,14,0,0.276,0,0,0.065,-1.632,-2.764,-2.260,2.740,0.114,2,14,0,0.309,0,0,0.043,5.117,0.616,0,0,0.322,0.000,0.000,0.000,0.000
5.0,2.663,-0.012,-4.290,0.710,0.064,2,14,0,0.176,0,0,0.044,-2.134,2.687,-3.524,1.476,0.098,2,14,0,0.227,0,0,0.058,-1.665,-2.744,-3.641,1.359,0.060,2,14,0,0.235,0,0,0.009,5.159,0.640,0,0,0.235,0.000,0.000,0.000,0.000
6.0,2.666,-0.076,-4.744,0.256,0.053,2,14,0,0.168,0,0,0.088,-2.159,2.579,-4.406,0.594,0.055,2,14,0,0.169,0,0,0.165,-1.707,-2.655,-4.578,0.422,0.043,2,14,0,0.240,0,0,0.100,5.079,0.659,0,0,0.240,0.000,0.000,0.000,0.000
7.0,2.703,-0.025,-4.844,0.156,0.036,2,14,0,0.154,0,0,0.029,-2.204,2.560,-4.678,0.322,0.020,2,14,0,0.172,0,0,0.203,-1.716,-2.697,-4.813,0.187,0.056,2,14,0,0.185,0,0,0.069,5.163,0.705,0,0,0.185,0.000,0.000,0.000,0.000
8.0,2.707,0.044,-4.869,0.131,0.027,2,14,0,0.168,0,0,0.041,-2.142,2.624,-4.877,0.123,0.084,2,14,0,0.171,0,0,0.118,-1.739,-2.760,-4.891,0.109,0.067,2,14,0,0.178,0,0,0.069,5.257,0.642,0,0,0.178,0.000,0.000,0.000,0.000
9.0,2.671,0.033,-4.921,0.079,0.006,2,14,0,0.149,0,0,0.044,-2.154,2.675,-4.914,0.086,0.081,2,14,0,0.169,0,0,0.081,-1.763,-2.831,-4.873,0.127,0.042,2,14,0,0.175,0,0,0.122,5.279,0.658,0,0,0.175,0.000,0.000,0.000,0.000
10.0,2.630,0.031,-4.913,0.087,0.014,2,14,0,0.146,0,0,0.078,-2.068,2.793,-4.947,0.053,0.083,2,14,0,0.145,0,0,0.067,-1.726,-2.844,-4.972,0.028,0.057,2,14,0,0.220,0,0,0.110,5.219,0.600,0,0,0.220,0.000,0.000,0.000,0.000
11.0,2.667,0.018,-4.940,0.060,0.039,2,14,0,0.144,0,0,0.040,-2.056,2.910,-4.996,0.004,0.027,2,14,0,0.148,0,0,0.182,-1.704,-2.847,-4.979,0.021,0.066,2,14,0,0.175,0,0,0.104,5.226,0.637,0,0,0.175,0.000,0.000,0.000,0.000
12.0,2.738,0.003,-5.002,-0.002,0.044,2,14,0,0.138,0,0,0.034,-2.040,2.875,-4.896,0.104,0.070,2,14,0,0.165,0,0,0.155,-1.673,-2.795,-4.992,0.008,0.076,2,14,0,0.144,0,0,0.047,5.223,0.606,0,0,0.165,0.000,0.000,0.000,0.000
13.0,2.803,-0.006,-4.983,0.017,0.018,2,14,0,0.145,0,0,0.100,-2.083,2.803,-4.933,0.067,0.097,2,14,0,0.173,0,0,0.073,-1.664,-2.741,-5.047,-0.047,0.067,2,14,0,0.187,0,0,0.010,5.238,0.618,0,0,0.187,0.000,0.000,0.000,0.000
14.0,2.774,-0.022,-5.005,-0.005,0.029,2,14,0,0.164,0,0,0.074,-2.137,2.745,-4.916,0.084,0.089,2,14,0,0.225,0,0,0.041,-1.586,-2.712,-5.001,-0.001,0.039,2,14,0,0.171,0,0,0.092,5.122,0.654,0,0,0.225,0.000,0.000,0.000,0.000
15.0,2.771,0.008,-5.020,-0.020,0.033,2,14,0,0.146,0,0,0.068,-2.139,2.632,-4.918,0.082,0.064,2,14,0,0.170,0,0,0.109,-1.609,-2.657,-4.990,0.010,0.030,2,14,0,0.155,0,0,0.109,5.128,0.639,0,0,0.170,0.000,0.000,0.000,0.000
16.0,2.734,0.041,-5.032,-0.032,0.054,2,14,0,0.169,0,0,0.049,-2.137,2.623,-4.932,0.068,0.015,2,14,0,0.150,0,0,0.116,-1.597,-2.676,-5.010,-0.010,0.058,2,14,0,0.154,0,0,0.106,5.113,0.637,0,0,0.169,0.000,0.000,0.000,0.000
17.0,2.576,-0.028,-4.987,0.013,0.054,2,14,0,0.164,0,0,0.131,-2.121,2.678,-4.906,0.094,0.060,2,14,0,0.166,0,0,0.060,-1.724,-2.731,-4.980,0.020,0.084,2,14,0,0.171,0,0,0.055,5.079,0.626,0,0,0.171,0.000,0.000,0.000,0.000
18.0,2.565,-0.010,-5.027,-0.027,0.019,2,14,0,0.143,0,0,0.140,-2.141,2.707,-4.964,0.036,0.052,2,14,0,0.176,0,0,0.050,-1.778,-2.752,-4.984,0.016,0.040,2,14,0,0.183,0,0,0.108,5.136,0.650,0,0,0.183,0.000,0.000,0.000,0.000
19.0,2.665,0.007,-5.074,-0.074,0.077,2,14,0,0.176,0,0,0.040,-2.144,2.732,-4.944,0.056,0.060,2,14,0,0.175,0,0,0.047,-1.676,-2.800,-5.038,-0.038,0.041,2,14,0,0.185,0,0,0.050,5.170,0.658,0,0,0.185,0.000,0.000,0.000,0.000
20.0,2.774,-0.006,-4.979,0.021,0.064,2,14,0,0.149,0,0,0.071,-1.985,2.774,-4.993,0.007,0.063,2,14,0,0.149,0,0,0.118,-1.680,-2.819,-5.007,-0.007,0.019,2,14,0,0.158,0,0,0.071,5.268,0.516,0,0,0.158,0.000,0.000,0.000,0.000
21.0,2.775,0.041,-5.026,-0.026,0.008,2,14,0,0.177,0,0,0.081,-1.944,2.811,-4.985,0.015,0.008,2,14,0,0.148,0,0,0.172,-1.636,-2.841,-4.983,0.017,0.033,2,14,0,0.150,0,0,0.099,5.269,0.493,0,0,0.177,0.000,0.000,0.000,0.000
22.0,2.673,0.040,-4.997,0.003,0.018,2,14,0,0.167,0,0,0.048,-2.006,2.768,-4.894,0.106,0.085,2,14,0,0.175,0,0,0.100,-1.698,-2.813,-5.016,-0.016,0.051,2,14,0,0.168,0,0,0.069,5.219,0.534,0,0,0.175,0.000,0.000,0.000,0.000
23.0,2.647,0.002,-4.954,0.046,0.019,2,14,0,0.170,0,0,0.056,-2.080,2.689,-4.935,0.065,0.093,2,14,0,0.171,0,0,0.048,-1.678,-2.714,-4.999,0.001,0.056,2,14,0,0.159,0,0,0.036,5.107,0.587,0,0,0.171,0.000,0.000,0.000,0.000
24.0,2.680,-0.017,-4.955,0.045,0.029,2,14,0,0.174,0,0,0.031,-2.195,2.657,-4.951,0.049,0.065,2,14,0,0.172,0,0,0.123,-1.647,-2.706,-5.007,-0.007,0.011,2,14,0,0.153,0,0,0.049,5.095,0.697,0,0,0.174,0.000,0.000,0.000,0.000
