t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,3.147,-0.030,-0.596,4.404,0.081,2,14,0,0.296,0,0,0.118,-1.705,2.754,-0.200,4.800,0.082,2,14,0,0.276,0,0,0.191,-1.575,-2.538,0.274,5.274,0.090,2,14,0,0.233,0,0,0.077,5.315,0.453,0,0,0.296,0.220,0.000,0.500,0.000
2.0,3.368,-0.012,-1.364,3.636,0.359,2,14,0,0.278,0,0,0.401,-1.389,2.816,-0.870,4.130,0.413,2,14,0,0.235,0,0,0.385,-1.374,-2.492,-0.377,4.623,0.302,2,14,0,0.326,0,1,0.366,5.331,0.646,0,0,0.326,0.720,0.000,0.500,0.000
3.0,3.534,0.023,-1.839,3.161,0.438,2,14,0,0.272,0,0,0.458,-1.211,2.839,-1.356,3.644,0.510,2,14,0,0.272,0,0,0.431,-1.310,-2.421,-0.545,4.455,0.179,2,14,0,0.277,0,1,0.527,5.323,0.771,0,0,0.277,0.940,0.000,0.500,0.000
4.0,4.102,0.079,-2.950,2.050,0.678,2,14,0,0.273,0,0,0.404,-0.633,2.830,-2.564,2.436,0.669,2,14,0,0.245,0,0,0.355,-1.212,-2.465,-1.276,3.724,0.222,2,14,0,0.276,0,0,0.928,5.480,1.159,0,0,0.276,1.440,0.000,0.500,0.000
5.0,4.818,-0.028,-4.210,0.790,0.794,2,14,0,0.169,0,0,0.186,0.073,2.722,-3.847,1.153,0.762,2,14,0,0.175,0,0,0.147,-0.761,-2.488,-2.613,2.387,0.568,2,14,0,0.292,0,0,0.984,5.419,1.206,0,0,0.292,1.940,0.000,0.500,0.000
6.0,5.580,-0.064,-4.661,0.339,0.739,2,14,0,0.168,0,0,0.101,0.780,2.688,-4.557,0.443,0.713,2,14,0,0.160,0,0,0.094,-0.044,-2.509,-3.957,1.043,0.882,2,14,0,0.168,0,0,0.771,5.296,0.988,0,0,0.168,2.440,0.000,0.500,0.000
7.0,6.205,-0.089,-4.833,0.167,0.612,2,14,0,0.136,0,0,0.230,1.462,2.685,-4.820,0.180,0.614,2,14,0,0.169,0,0,0.255,0.820,-2.601,-4.627,0.373,1.003,2,14,0,0.172,0,0,0.418,5.328,0.620,0,0,0.172,2.940,0.000,0.500,0.000
8.0,6.846,-0.071,-4.891,0.109,0.503,2,14,0,0.160,0,0,0.361,2.013,2.682,-4.849,0.151,0.490,2,14,0,0.186,0,0,0.309,1.744,-2.629,-4.810,0.190,0.960,2,14,0,0.214,0,0,0.117,5.317,0.412,0,0,0.214,3.440,0.000,0.500,0.000
9.0,7.300,-0.012,-4.932,0.068,0.374,2,14,0,0.146,0,0,0.312,2.433,2.695,-4.867,0.133,0.383,2,14,0,0.173,0,0,0.228,2.677,-2.632,-4.929,0.071,0.796,2,14,0,0.288,0,0,0.470,5.314,0.361,0,0,0.288,3.940,0.000,0.500,0.000
10.0,7.618,0.042,-4.950,0.050,0.312,2,14,0,0.163,0,0,0.140,2.828,2.724,-4.955,0.045,0.362,2,14,0,0.168,0,0,0.119,3.310,-2.585,-4.967,0.033,0.506,2,14,0,0.169,0,0,0.600,5.046,0.370,0,0,0.169,4.440,0.000,0.500,0.000
11.0,7.894,0.086,-4.989,0.011,0.342,2,14,0,0.167,0,0,0.129,3.190,2.758,-4.985,0.015,0.366,2,14,0,0.167,0,0,0.021,3.678,-2.477,-4.944,0.056,0.287,2,14,0,0.174,0,0,0.466,4.934,0.297,0,0,0.174,4.940,0.000,0.500,0.000
12.0,8.305,0.029,-5.060,-0.060,0.462,2,14,0,0.145,0,0,0.192,3.540,2.809,-4.993,0.007,0.429,2,14,0,0.209,0,0,0.181,3.994,-2.357,-4.996,0.004,0.194,2,14,0,0.185,0,0,0.320,4.928,0.452,0,0,0.209,5.440,0.000,0.500,0.000
13.0,8.816,-0.070,-4.994,0.006,0.555,2,14,0,0.165,0,0,0.192,4.003,2.823,-5.032,-0.032,0.520,2,14,0,0.167,0,0,0.218,4.146,-2.329,-4.994,0.006,0.209,2,14,0,0.176,0,0,0.197,5.154,0.492,0,0,0.176,5.940,0.000,0.500,0.000
14.0,9.479,-0.125,-4.958,0.042,0.600,2,14,0,0.138,0,0,0.122,4.504,2.817,-5.007,-0.007,0.598,2,14,0,0.169,0,0,0.218,4.433,-2.436,-5.009,-0.009,0.370,2,14,0,0.171,0,0,0.297,5.254,0.532,0,0,0.171,6.440,0.000,0.500,0.000
15.0,10.041,-0.071,-5.008,-0.008,0.553,2,14,0,0.168,0,0,0.086,5.114,2.738,-4.995,0.005,0.646,2,14,0,0.169,0,0,0.100,4.873,-2.581,-5.037,-0.037,0.527,2,14,0,0.172,0,0,0.353,5.325,0.567,0,0,0.172,6.940,0.000,0.500,0.000
16.0,10.526,-0.065,-5.000,-0.000,0.509,2,14,0,0.171,0,0,0.068,5.791,2.658,-4.953,0.047,0.636,2,14,0,0.169,0,0,0.124,5.472,-2.619,-5.058,-0.058,0.645,2,14,0,0.173,0,0,0.267,5.288,0.468,0,0,0.173,7.440,0.000,0.500,0.000
17.0,10.998,0.005,-5.006,-0.006,0.489,2,14,0,0.170,0,0,0.012,6.392,2.634,-5.013,-0.013,0.550,2,14,0,0.178,0,0,0.216,6.133,-2.600,-5.027,-0.027,0.680,2,14,0,0.212,0,0,0.125,5.240,0.307,0,0,0.212,7.940,0.000,0.500,0.000
18.0,11.462,0.016,-4.979,0.021,0.490,2,14,0,0.162,0,0,0.037,6.908,2.684,-5.000,-0.000,0.462,2,14,0,0.169,0,0,0.212,6.805,-2.569,-4.979,0.021,0.651,2,14,0,0.177,0,0,0.097,5.254,0.139,0,0,0.177,8.440,0.000,0.500,0.000
19.0,12.020,0.056,-5.056,-0.056,0.523,2,14,0,0.206,0,0,0.068,7.271,2.792,-4.988,0.012,0.398,2,14,0,0.171,0,0,0.068,7.383,-2.547,-4.964,0.036,0.550,2,14,0,0.153,0,0,0.169,5.319,0.257,0,0,0.206,8.940,0.000,0.500,0.000
20.0,12.560,0.083,-5.024,-0.024,0.507,2,14,0,0.169,0,0,0.113,7.686,2.845,-4.934,0.066,0.418,2,14,0,0.173,0,0,0.094,7.865,-2.506,-5.038,-0.038,0.470,2,14,0,0.174,0,0,0.147,5.355,0.354,0,0,0.174,9.440,0.000,0.500,0.000
21.0,12.985,0.067,-4.969,0.031,0.480,2,14,0,0.163,0,0,0.074,8.154,2.870,-4.977,0.023,0.471,2,14,0,0.146,0,0,0.130,8.322,-2.453,-4.969,0.031,0.424,2,14,0,0.172,0,0,0.123,5.301,0.394,0,0,0.172,9.940,0.000,0.500,0.000
22.0,13.466,0.030,-5.031,-0.031,0.491,2,14,0,0.166,0,0,0.043,8.641,2.855,-4.943,0.057,0.513,2,14,0,0.141,0,0,0.125,8.707,-2.462,-4.968,0.032,0.408,2,14,0,0.174,0,0,0.052,5.317,0.394,0,0,0.174,10.440,0.000,0.500,0.000
23.0,13.949,-0.019,-5.000,0.000,0.505,2,14,0,0.139,0,0,0.042,9.104,2.824,-4.999,0.001,0.536,2,14,0,0.142,0,0,0.133,9.098,-2.461,-4.929,0.071,0.452,2,14,0,0.183,0,0,0.130,5.286,0.405,0,0,0.183,10.940,0.000,0.500,0.000
24.0,14.451,-0.069,-4.963,0.037,0.519,2,14,0,0.133,0,0,0.079,9.660,2.741,-5.008,-0.008,0.573,2,14,0,0.202,0,0,0.054,9.564,-2.520,-4.992,0.008,0.525,2,14,0,0.140,0,0,0.160,5.262,0.385,0,0,0.202,11.440,0.000,0.500,0.000
25.0,14.977,-0.089,-4.962,0.038,0.529,2,14,0,0.166,0,0,0.086,10.186,2.678,-4.978,0.022,0.566,2,14,0,0.203,0,0,0.080,10.060,-2.551,-4.995,0.005,0.566,2,14,0,0.158,0,0,0.167,5.231,0.383,0,0,0.203,11.940,0.000,0.500,0.000
26.0,15.541,-0.074,-4.959,0.041,0.520,2,14,0,0.165,0,0,0.085,10.761,2.660,-5.018,-0.018,0.553,2,14,0,0.166,0,0,0.107,10.657,-2.569,-5.010,-0.010,0.607,2,14,0,0.185,0,0,0.083,5.231,0.284,0,0,0.185,12.440,0.000,0.500,0.000
27.0,15.966,-0.063,-4.958,0.042,0.489,2,14,0,0.167,0,0,0.064,11.261,2.673,-5.044,-0.044,0.515,2,14,0,0.166,0,0,0.096,11.264,-2.562,-5.061,-0.061,0.596,2,14,0,0.148,0,0,0.065,5.235,0.195,0,0,0.167,12.940,0.000,0.500,0.000
28.0,16.462,0.004,-4.987,0.013,0.508,2,14,0,0.137,0,0,0.034,11.787,2.677,-5.048,-0.048,0.502,2,14,0,0.167,0,0,0.108,11.877,-2.544,-5.008,-0.008,0.547,2,14,0,0.217,0,0,0.159,5.222,0.172,0,0,0.217,13.440,0.000,0.500,0.000
29.0,16.913,0.022,-5.010,-0.010,0.510,2,14,0,0.168,0,0,0.083,12.260,2.727,-4.994,0.006,0.473,2,14,0,0.170,0,0,0.057,12.325,-2.507,-5.033,-0.033,0.461,2,14,0,0.144,0,0,0.108,5.235,0.222,0,0,0.170,13.940,0.000,0.500,0.000
30.0,17.445,0.075,-5.069,-0.069,0.546,2,14,0,0.173,0,0,0.092,12.717,2.859,-4.969,0.031,0.464,2,14,0,0.170,0,0,0.102,12.815,-2.488,-4.979,0.021,0.433,2,14,0,0.176,0,0,0.100,5.293,0.344,0,0,0.176,14.440,0.000,0.500,0.000
31.0,18.038,0.038,-5.041,-0.041,0.548,2,14,0,0.174,0,0,0.064,13.138,2.880,-5.003,-0.003,0.468,2,14,0,0.169,0,0,0.148,13.237,-2.463,-5.024,-0.024,0.420,2,14,0,0.155,0,0,0.054,5.344,0.413,0,0,0.174,14.940,0.000,0.500,0.000
32.0,18.623,-0.053,-5.040,-0.040,0.510,2,14,0,0.167,0,0,0.140,13.634,2.836,-5.006,-0.006,0.517,2,14,0,0.169,0,0,0.113,13.677,-2.440,-5.024,-0.024,0.446,2,14,0,0.156,0,0,0.083,5.276,0.387,0,0,0.169,15.440,0.000,0.500,0.000
33.0,19.097,-0.020,-4.977,0.023,0.451,2,14,0,0.170,0,0,0.106,14.215,2.757,-4.996,0.004,0.547,2,14,0,0.173,0,0,0.005,14.166,-2.476,-4.982,0.018,0.485,2,14,0,0.184,0,0,0.063,5.233,0.300,0,0,0.184,15.940,0.000,0.500,0.000
34.0,19.561,0.018,-5.016,-0.016,0.434,2,14,0,0.172,0,0,0.074,14.725,2.713,-4.998,0.002,0.513,2,14,0,0.147,0,0,0.045,14.648,-2.503,-4.956,0.044,0.516,2,14,0,0.187,0,0,0.070,5.217,0.307,0,0,0.187,16.440,0.000,0.500,0.000
35.0,19.987,0.001,-5.002,-0.002,0.438,2,14,0,0.132,0,0,0.008,15.187,2.719,-4.997,0.003,0.503,2,14,0,0.203,0,0,0.043,15.127,-2.544,-4.986,0.014,0.532,2,14,0,0.168,0,0,0.096,5.264,0.318,0,0,0.203,16.940,0.000,0.500,0.000
36.0,20.431,0.003,-4.993,0.007,0.456,2,14,0,0.138,0,0,0.058,15.659,2.762,-4.941,0.059,0.519,2,14,0,0.164,0,0,0.058,15.691,-2.558,-5.035,-0.035,0.564,2,14,0,0.147,0,0,0.055,5.321,0.325,0,0,0.164,17.440,0.000,0.500,0.000
37.0,20.922,-0.031,-5.003,-0.003,0.494,2,14,0,0.203,0,0,0.072,16.243,2.798,-4.988,0.012,0.536,2,14,0,0.138,0,0,0.050,16.219,-2.509,-5.007,-0.007,0.547,2,14,0,0.185,0,0,0.004,5.307,0.280,0,0,0.203,17.940,0.000,0.500,0.000
38.0,21.466,-0.052,-4.957,0.043,0.533,2,14,0,0.164,0,0,0.053,16.845,2.779,-5.033,-0.033,0.522,2,14,0,0.168,0,0,0.130,16.732,-2.521,-4.995,0.005,0.535,2,14,0,0.146,0,0,0.017,5.301,0.221,0,0,0.168,18.440,0.000,0.500,0.000
39.7,21.817,-0.083,-4.962,0.038,0.529,2,14,0,0.174,0,0,0.095,17.216,2.795,-4.959,0.041,0.470,2,14,0,0.179,0,0,0.136,17.139,-2.526,-5.001,-0.001,0.512,2,14,0,0.231,0,0,0.044,5.277,0.218,0,0,0.231,18.810,0.000,0.500,0.000
40.0,21.948,-0.078,-5.011,-0.011,0.524,2,14,0,0.161,0,0,0.097,17.337,2.770,-4.986,0.014,0.450,2,14,0,0.168,0,0,0.110,17.305,-2.545,-4.988,0.012,0.509,2,14,0,0.148,0,0,0.069,5.257,0.211,0,0,0.168,18.960,0.000,0.500,0.000
41.0,22.471,-0.012,-4.989,0.011,0.540,2,14,0,0.157,0,0,0.043,17.666,2.723,-5.003,-0.003,0.420,2,14,0,0.165,0,0,0.069,17.820,-2.541,-4.980,0.020,0.472,2,14,0,0.209,0,0,0.088,5.266,0.320,0,0,0.209,19.460,0.000,0.500,0.000
42.0,22.991,0.005,-5.059,-0.059,0.523,2,14,0,0.169,0,0,0.020,18.094,2.699,-5.033,-0.033,0.472,2,14,0,0.170,0,0,0.112,18.321,-2.526,-5.000,0.000,0.442,2,14,0,0.184,0,0,0.121,5.230,0.338,0,0,0.184,19.916,0.000,0.290,0.000
43.0,23.360,0.043,-5.083,-0.083,0.302,2,14,0,0.161,0,0,0.306,18.524,2.716,-5.009,-0.009,0.315,2,14,0,0.141,0,0,0.250,18.642,-2.481,-5.042,-0.042,0.206,2,14,0,0.184,0,0,0.360,5.199,0.362,0,0,0.184,20.000,0.000,0.000,0.000
44.0,23.595,0.041,-5.013,-0.013,0.041,2,14,0,0.178,0,0,0.544,18.728,2.773,-4.994,0.006,0.070,2,14,0,0.174,0,0,0.453,18.693,-2.488,-5.047,-0.047,0.053,2,14,0,0.182,0,0,0.418,5.261,0.597,0,0,0.182,20.000,0.000,0.000,0.000
45.0,23.503,0.038,-4.993,0.007,0.210,2,14,0,0.332,0,0,0.456,18.701,2.816,-4.982,0.018,0.170,2,14,0,0.174,0,0,0.438,18.453,-2.444,-5.047,-0.047,0.222,2,14,0,0.186,0,0,0.194,5.267,0.505,0,0,0.332,20.000,0.000,0.000,0.000
46.0,23.192,0.059,-5.014,-0.014,0.338,2,14,0,0.166,0,0,0.160,18.444,2.812,-5.002,-0.002,0.286,2,14,0,0.164,0,0,0.186,18.220,-2.448,-5.011,-0.011,0.211,2,14,0,0.172,0,0,0.085,5.265,0.318,0,0,0.172,20.000,0.000,0.000,0.000
47.0,22.863,0.060,-4.970,0.030,0.277,2,14,0,0.172,0,0,0.196,18.153,2.818,-5.005,-0.005,0.266,2,14,0,0.171,0,0,0.129,18.124,-2.443,-5.024,-0.024,0.127,2,14,0,0.179,0,0,0.168,5.260,0.410,0,0,0.179,20.000,0.000,0.000,0.000
