t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,-10.891,17.178,-4.955,0.045,1.693,2,14,0,0.238,0,0,8.000,-15.404,19.359,-5.810,-0.810,1.605,2,14,0,0.338,0,0,7.428,-14.583,14.828,-4.598,0.402,1.897,2,14,0,0.304,0,0,8.259,4.391,7.869,0,0,0.338,-12.938,9.559,-1.434,-0.441
2.0,-11.963,18.185,-4.977,0.023,1.339,2,14,0,0.267,0,0,9.537,-16.700,20.079,-5.789,-0.789,1.343,2,14,0,0.232,0,0,8.689,-16.008,15.834,-4.627,0.373,1.601,2,14,0,0.199,0,0,9.812,4.455,9.422,0,0,0.267,-14.333,9.012,-1.352,-0.650
3.0,-12.980,18.824,-4.952,0.048,1.112,2,14,0,0.214,0,0,10.926,-17.885,20.475,-5.710,-0.710,1.153,2,14,0,0.258,0,0,9.829,-17.335,16.571,-4.654,0.346,1.322,2,14,0,0.226,0,0,11.268,4.081,10.908,0,0,0.258,-15.632,8.263,-1.240,-0.845
4.0,-14.116,19.131,-5.001,-0.001,1.052,2,14,0,0.204,0,0,12.173,-18.962,20.399,-5.745,-0.745,1.118,2,14,0,0.234,0,0,10.687,-18.430,16.874,-4.625,0.375,1.065,2,14,0,0.226,0,0,12.532,3.737,12.144,0,0,0.234,-16.803,7.329,-1.099,-1.020
5.0,-15.160,19.038,-4.996,0.004,1.056,2,14,0,0.460,0,0,13.185,-20.021,20.039,-5.793,-0.793,1.194,2,14,0,0.210,0,0,11.426,-19.443,16.836,-4.599,0.401,0.950,2,14,0,0.296,0,0,13.572,3.466,13.204,0,0,0.460,-17.822,6.230,-0.935,-1.173
6.0,-16.074,18.575,-4.999,0.001,1.150,2,14,0,0.390,0,0,13.963,-20.995,19.250,-5.749,-0.749,1.372,2,14,0,0.317,0,0,11.886,-20.268,16.433,-4.606,0.394,1.005,2,14,0,0.200,0,0,14.431,3.125,14.040,0,0,0.390,-18.665,4.991,-0.749,-1.300
7.0,-16.825,17.624,-4.994,0.006,1.379,2,14,0,0.202,0,0,14.377,-21.837,17.993,-5.781,-0.781,1.643,2,14,0,0.229,0,0,11.979,-20.896,15.626,-4.608,0.392,1.238,2,14,0,0.201,0,0,14.971,2.805,14.584,0,0,0.229,-19.314,3.640,-0.546,-1.397
8.0,-17.436,16.290,-5.056,-0.056,1.696,2,14,0,0.208,0,0,14.474,-22.276,16.251,-5.750,-0.750,2.019,2,14,0,0.229,0,0,11.685,-21.395,14.351,-4.627,0.373,1.604,2,14,0,0.238,0,0,15.138,2.376,14.742,0,0,0.238,-19.753,2.208,-0.331,-1.463
9.0,-17.743,14.506,-5.043,-0.043,2.106,2,14,0,0.206,0,0,14.195,-22.576,14.054,-5.829,-0.829,2.485,2,14,0,0.260,0,0,10.959,-21.650,12.611,-4.641,0.359,2.031,2,14,0,0.235,0,0,14.876,2.086,14.485,0,0,0.260,-19.974,0.725,-0.109,-1.496
10.0,-17.670,12.194,-4.979,0.021,2.608,2,14,0,0.239,0,0,13.387,-22.965,11.340,-5.727,-0.727,2.983,2,14,0,0.249,0,0,9.776,-21.536,10.382,-4.576,0.424,2.545,2,14,0,0.280,0,0,14.140,2.070,13.753,0,0,0.280,-19.970,-0.773,0.116,-1.496
