t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,-16.376,19.093,-5.044,-0.044,0.995,2,14,0,0.224,0,0,14.501,-20.917,20.464,-5.244,-0.244,1.194,2,14,0,0.294,0,0,13.185,-20.202,16.461,-4.707,0.293,1.051,2,14,0,0.255,0,0,14.462,4.102,14.044,0,0,0.294,-18.620,5.069,-0.760,-1.293
2.0,-16.986,18.308,-5.014,-0.014,1.169,2,14,0,0.213,0,0,15.073,-21.702,19.435,-5.220,-0.220,1.443,2,14,0,0.197,0,0,13.503,-20.976,15.638,-4.785,0.215,1.256,2,14,0,0.201,0,0,14.986,3.890,14.601,0,0,0.213,-19.281,3.724,-0.559,-1.392
3.0,-17.415,17.083,-4.971,0.029,1.529,2,14,0,0.194,0,0,15.284,-22.167,17.973,-5.228,-0.228,1.794,2,14,0,0.194,0,0,13.484,-21.522,14.403,-4.754,0.246,1.587,2,14,0,0.200,0,0,15.194,3.659,14.803,0,0,0.200,-19.733,2.295,-0.344,-1.460
4.0,-17.578,15.428,-4.980,0.020,1.970,2,14,0,0.196,0,0,15.104,-22.452,15.997,-5.284,-0.284,2.243,2,14,0,0.260,0,0,12.977,-21.847,12.628,-4.743,0.257,2.027,2,14,0,0.205,0,0,14.890,3.466,14.626,0,0,0.260,-19.967,0.815,-0.122,-1.495
5.0,-17.506,13.263,-4.988,0.012,2.458,2,14,0,0.225,0,0,14.441,-22.400,13.564,-5.316,-0.316,2.732,2,14,0,0.272,0,0,12.055,-21.822,10.327,-4.732,0.268,2.546,2,14,0,0.285,0,0,14.087,3.340,13.957,0,0,0.285,-19.977,-0.684,0.103,-1.496
6.0,-17.248,10.594,-4.956,0.044,2.967,2,14,0,0.216,0,0,13.265,-22.120,10.674,-5.281,-0.281,3.083,2,14,0,0.197,0,0,10.633,-21.488,7.573,-4.791,0.209,3.019,2,14,0,0.196,0,0,12.813,3.203,12.770,0,0,0.216,-19.762,-2.167,0.325,-1.464
7.0,-16.785,7.638,-5.007,-0.007,3.116,2,14,0,0.199,0,0,11.769,-21.696,7.655,-5.315,-0.315,3.121,2,14,0,0.200,0,0,9.073,-20.888,4.551,-4.807,0.193,3.131,2,14,0,0.234,0,0,11.247,3.247,11.248,0,0,0.234,-19.329,-3.601,0.540,-1.399
8.0,-16.090,4.690,-5.055,-0.055,3.122,2,14,0,0.197,0,0,10.153,-20.987,4.665,-5.339,-0.339,3.119,2,14,0,0.245,0,0,7.433,-20.171,1.624,-4.765,0.235,3.121,2,14,0,0.204,0,0,9.648,3.200,9.653,0,0,0.245,-18.686,-4.955,0.743,-1.303
9.0,-15.236,1.739,-4.932,0.068,3.111,2,14,0,0.201,0,0,8.470,-20.086,1.684,-5.296,-0.296,3.107,2,14,0,0.248,0,0,5.671,-19.290,-1.272,-4.775,0.225,3.107,2,14,0,0.226,0,0,7.994,3.105,7.946,0,0,0.248,-17.848,-6.197,0.930,-1.177
10.0,-14.274,-1.184,-4.967,0.033,3.101,2,14,0,0.216,0,0,6.630,-19.148,-1.213,-5.288,-0.288,3.081,2,14,0,0.246,0,0,3.884,-18.259,-4.133,-4.760,0.240,3.086,2,14,0,0.249,0,0,6.236,3.097,6.132,0,0,0.249,-16.834,-7.301,1.095,-1.025
