t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,d5_x,d5_y,d5_z,d5_zerr,d5_velxy,d5_arm,d5_nav,d5_mpc,d5_solve_ms,d5_fallback,d5_hover,d5_poserr,d6_x,d6_y,d6_z,d6_zerr,d6_velxy,d6_arm,d6_nav,d6_mpc,d6_solve_ms,d6_fallback,d6_hover,d6_poserr,d7_x,d7_y,d7_z,d7_zerr,d7_velxy,d7_arm,d7_nav,d7_mpc,d7_solve_ms,d7_fallback,d7_hover,d7_poserr,d8_x,d8_y,d8_z,d8_zerr,d8_velxy,d8_arm,d8_nav,d8_mpc,d8_solve_ms,d8_fallback,d8_hover,d8_poserr,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,0.206,-0.175,-0.282,4.718,0.006,2,14,-1,0.000,0,0,0.000,nan,nan,nan,nan,nan,0,0,-1,0.000,0,0,0.000,0.069,-3.140,-0.292,4.708,0.029,0,0,0,0.250,0,0,0.095,2.946,-0.034,0.312,5.312,0.009,2,14,-1,0.000,0,0,0.000,-2.744,0.103,0.337,5.337,0.015,2,14,-1,0.000,0,0,0.000,2.624,2.950,-0.507,4.493,0.030,0,0,-1,0.000,0,0,0.000,-3.207,3.157,0.278,5.278,0.038,0,0,0,0.263,0,0,0.118,2.840,-3.193,-0.150,4.850,0.022,2,14,0,0.230,0,0,0.110,-3.173,-2.774,-0.282,4.718,0.016,0,0,0,0.234,0,0,0.024,2.776,nan,0,0,0.263,0.000,0.000,0.000,0.000
2.0,0.202,-0.177,-0.274,4.726,0.006,2,14,0,0.233,0,1,0.016,0.394,3.074,-0.564,4.436,0.033,0,0,0,0.229,0,0,0.130,0.049,-3.125,-0.275,4.725,0.031,2,14,0,0.373,0,1,0.115,2.956,-0.014,0.281,5.281,0.009,2,14,0,0.233,0,1,0.029,-2.732,0.094,0.402,5.402,0.010,2,14,0,0.232,0,1,0.029,2.613,2.949,-0.508,4.492,0.029,2,14,0,0.228,0,0,0.136,-3.192,3.173,0.270,5.270,0.041,2,14,0,0.305,0,1,0.138,2.844,-3.204,-0.165,4.835,0.021,2,14,0,0.226,0,1,0.116,-3.133,-2.773,-0.273,4.727,0.027,2,14,0,0.228,0,1,0.056,2.224,0.401,0,0,0.373,0.000,0.000,0.000,0.000
3.0,0.199,-0.180,-0.268,4.732,0.006,2,14,0,0.253,0,1,0.015,0.372,3.072,-0.522,4.478,0.031,2,14,0,0.231,0,0,0.153,0.050,-3.140,-0.254,4.746,0.018,2,14,0,0.245,0,1,0.100,2.964,-0.031,0.315,5.315,0.012,2,14,0,0.227,0,1,0.030,-2.724,0.082,0.402,5.402,0.006,2,14,0,0.231,0,1,0.019,2.650,2.970,-0.545,4.455,0.017,2,14,0,0.281,0,0,0.095,-3.178,3.190,0.259,5.259,0.044,2,14,0,0.243,0,1,0.159,2.840,-3.220,-0.198,4.802,0.019,2,14,0,0.233,0,1,0.117,-3.125,-2.762,-0.271,4.729,0.027,2,14,0,0.232,0,1,0.068,2.281,0.378,0,0,0.281,0.000,0.000,0.000,0.000
4.0,0.196,-0.182,-0.264,4.736,0.007,2,14,0,0.241,0,1,0.014,0.403,3.084,-0.578,4.422,0.115,2,14,0,0.300,0,0,0.123,0.057,-3.134,-0.208,4.792,0.018,2,14,0,0.247,0,1,0.104,2.981,-0.037,0.335,5.335,0.019,2,14,0,0.597,0,1,0.047,-2.709,0.076,0.420,5.420,0.009,2,14,0,0.251,0,1,0.007,2.703,2.990,-0.603,4.397,0.110,2,14,0,0.256,0,0,0.058,-3.162,3.208,0.247,5.247,0.047,2,14,0,0.248,0,1,0.181,2.760,-3.232,-0.239,4.761,0.009,2,14,0,0.443,0,1,0.060,-3.157,-2.784,-0.286,4.714,0.020,2,14,0,0.234,0,1,0.029,2.303,0.411,0,0,0.597,0.000,0.000,0.000,0.000
5.0,0.193,-0.185,-0.261,4.739,0.007,2,14,0,0.271,0,1,0.015,0.535,3.123,-1.115,3.885,0.160,2,14,0,0.232,0,0,0.042,0.090,-3.133,-0.202,4.798,0.020,2,14,0,0.243,0,1,0.102,2.936,-0.044,0.371,5.371,0.012,2,14,0,0.230,0,1,0.011,-2.701,0.048,0.395,5.395,0.011,2,14,0,0.233,0,1,0.034,2.794,2.980,-1.059,3.941,0.099,2,14,0,0.266,0,0,0.061,-3.144,3.230,0.233,5.233,0.050,2,14,0,0.237,0,1,0.209,2.708,-3.226,-0.303,4.697,0.022,2,14,0,0.229,0,1,0.052,-3.184,-2.791,-0.329,4.671,0.013,2,14,0,0.228,0,0,0.005,2.265,0.549,0,0,0.271,0.000,0.000,0.000,0.000
6.0,0.192,-0.171,-0.260,4.740,0.082,2,14,0,0.240,0,1,0.005,0.608,3.214,-1.869,3.131,0.142,2,14,0,0.248,0,0,0.122,0.104,-3.135,-0.270,4.730,0.079,2,14,0,0.246,0,1,0.100,2.906,-0.024,0.413,5.413,0.074,2,14,0,0.233,0,1,0.029,-2.737,0.051,0.380,5.380,0.074,2,14,0,0.228,0,1,0.044,2.846,3.000,-1.715,3.285,0.046,2,14,0,0.325,0,0,0.115,-3.120,3.254,0.216,5.216,0.057,2,14,0,0.244,0,1,0.241,2.714,-3.211,-0.408,4.592,0.029,2,14,0,0.229,0,0,0.036,-3.202,-2.776,-0.652,4.348,0.026,2,14,0,0.243,0,0,0.027,2.253,0.645,0,0,0.325,0.000,0.000,0.000,0.000
7.0,0.190,-0.166,-0.262,4.738,0.009,2,12,0,0.659,0,1,0.012,0.629,3.278,-2.839,2.161,0.027,2,14,0,0.308,0,0,0.182,0.119,-3.151,-0.409,4.591,0.052,2,14,0,0.297,0,1,0.092,2.951,-0.003,0.152,5.152,0.058,2,14,0,0.235,0,1,0.034,-2.759,0.088,0.145,5.145,0.026,2,14,0,0.342,0,1,0.056,2.852,3.036,-2.739,2.261,0.037,2,14,0,0.286,0,0,0.141,-3.089,3.289,0.193,5.193,0.058,2,12,0,0.247,0,1,0.247,2.758,-3.194,-1.210,3.790,0.094,2,14,0,0.286,0,0,0.030,-3.162,-2.686,-1.680,3.320,0.114,2,14,0,0.248,0,0,0.110,2.238,0.688,0,0,0.659,0.000,0.000,0.000,0.000
8.0,0.184,-0.172,-0.266,4.734,0.009,2,12,0,0.659,0,1,0.012,0.593,3.258,-4.077,0.923,0.070,2,14,0,0.173,0,0,0.142,0.150,-3.221,-1.438,3.562,0.052,2,14,0,0.323,0,0,0.069,2.971,0.079,-0.395,4.605,0.015,2,14,0,0.280,0,1,0.118,-2.709,0.160,-0.415,4.585,0.013,2,14,0,0.257,0,1,0.078,2.850,2.963,-3.973,1.027,0.090,2,14,0,0.265,0,0,0.109,-3.052,3.334,0.166,5.166,0.063,2,12,0,0.247,0,1,0.247,2.830,-3.110,-2.438,2.562,0.042,2,14,0,0.280,0,0,0.121,-3.184,-2.611,-2.975,2.025,0.017,2,14,0,0.300,0,0,0.185,2.279,0.647,0,0,0.659,0.000,0.000,0.000,0.000
9.0,0.178,-0.179,-0.272,4.728,0.009,2,12,0,0.659,0,1,0.012,0.494,3.273,-4.797,0.203,0.097,2,14,0,0.174,0,0,0.125,0.068,-3.240,-2.710,2.290,0.107,2,14,0,0.407,0,0,0.013,2.949,0.063,-1.369,3.631,0.061,2,14,0,0.233,0,0,0.099,-2.669,0.089,-1.349,3.651,0.073,2,14,0,0.279,0,0,0.037,2.813,2.892,-4.897,0.103,0.081,2,14,0,0.179,0,0,0.090,-3.012,3.384,0.137,5.137,0.069,2,12,0,0.247,0,1,0.247,2.829,-3.078,-3.754,1.246,0.047,2,14,0,0.206,0,0,0.142,-3.233,-2.704,-4.179,0.821,0.082,2,14,0,0.239,0,0,0.104,2.353,0.564,0,0,0.659,0.000,0.000,0.000,0.000
10.0,0.174,-0.186,-0.279,4.721,0.009,2,12,0,0.659,0,1,0.012,0.482,3.122,-4.966,0.034,0.110,2,14,0,0.219,0,0,0.032,0.028,-3.180,-4.113,0.887,0.063,2,14,0,0.229,0,0,0.076,2.861,-0.016,-2.839,2.161,0.099,2,14,0,0.290,0,0,0.075,-2.706,0.129,-2.699,2.301,0.051,2,14,0,0.292,0,0,0.047,2.857,2.866,-5.169,-0.169,0.062,2,14,0,0.189,0,0,0.142,-2.969,3.438,0.107,5.107,0.076,2,12,0,0.247,0,1,0.247,2.762,-3.063,-4.587,0.413,0.076,2,14,0,0.185,0,0,0.122,-3.377,-2.792,-4.690,0.310,0.095,2,14,0,0.194,0,0,0.193,2.398,0.497,0,0,0.659,0.000,0.000,0.000,0.000
