t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d0_planratio,d0_clipn,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d1_planratio,d1_clipn,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d2_planratio,d2_clipn,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d3_planratio,d3_clipn,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,d4_planratio,d4_clipn,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,0.313,-0.122,-0.050,4.950,0.056,2,14,0,0.373,0,0,0.043,0.0754,0,-0.096,3.204,0.245,5.245,0.101,2,14,0,0.325,0,0,0.074,0.9456,0,-0.443,-2.786,0.551,5.551,0.036,2,14,0,0.333,0,0,0.028,0.9414,0,2.983,-0.127,0.217,5.217,0.103,2,14,0,0.330,0,0,0.091,0.9424,0,-2.907,0.202,-0.180,4.820,0.041,2,14,0,0.318,0,0,0.040,0.9358,0,2.683,0.492,0,0,0.373,0.000,0.000,0.000,0.000
2.0,0.251,-0.154,-0.642,4.358,0.104,2,14,0,0.354,0,0,0.037,0.0824,0,-0.172,3.158,-0.357,4.643,0.125,2,14,0,0.250,0,0,0.030,0.9456,0,-0.445,-2.832,-0.059,4.941,0.068,2,14,0,0.303,0,0,0.019,0.9414,0,3.130,-0.077,-0.351,4.649,0.088,2,14,0,0.318,0,0,0.065,0.9424,0,-2.912,0.130,-0.720,4.280,0.151,2,14,0,0.285,0,0,0.051,0.9358,0,2.827,0.476,0,0,0.354,0.000,0.000,0.000,0.000
3.0,0.248,-0.144,-1.770,3.230,0.073,2,14,0,0.329,0,0,0.044,0.0882,0,-0.141,3.161,-1.466,3.534,0.078,2,14,0,0.318,0,0,0.015,0.9456,0,-0.425,-2.820,-1.177,3.823,0.035,2,14,0,0.251,0,0,0.011,0.9414,0,3.098,-0.083,-1.400,3.600,0.038,2,14,0,0.314,0,0,0.033,0.9424,0,-2.882,0.196,-1.799,3.201,0.080,2,14,0,0.293,0,0,0.026,0.9358,0,2.823,0.462,0,0,0.329,0.000,0.000,0.000,0.000
4.0,0.271,-0.182,-2.989,2.011,0.104,2,14,0,0.427,0,0,0.034,0.0882,0,-0.141,3.113,-2.699,2.301,0.079,2,14,0,0.392,0,0,0.036,0.9456,0,-0.439,-2.816,-2.518,2.482,0.007,2,14,0,0.388,0,0,0.003,0.9414,0,3.105,-0.144,-2.671,2.329,0.098,2,14,0,0.395,0,0,0.068,0.9424,0,-2.889,0.189,-3.073,1.927,0.025,2,14,0,0.385,0,0,0.019,0.9358,0,2.769,0.476,0,0,0.427,0.000,0.000,0.000,0.000
5.0,0.360,-0.159,-4.189,0.811,0.109,2,14,0,0.232,0,0,0.072,0.0882,0,-0.136,3.141,-3.911,1.089,0.036,2,14,0,0.193,0,0,0.011,0.9456,0,-0.507,-2.810,-3.691,1.309,0.041,2,14,0,0.219,0,0,0.069,0.9414,0,3.071,-0.137,-3.907,1.093,0.047,2,14,0,0.237,0,0,0.049,0.9424,0,-2.866,0.168,-4.251,0.749,0.032,2,14,0,0.190,0,0,0.019,0.9358,0,2.726,0.541,0,0,0.237,0.000,0.000,0.000,0.000
6.0,0.217,-0.140,-4.631,0.369,0.059,2,14,0,0.194,0,0,0.075,0.0882,0,-0.084,3.178,-4.340,0.660,0.062,2,14,0,0.190,0,0,0.066,0.9456,0,-0.467,-2.848,-4.142,0.858,0.045,2,14,0,0.196,0,0,0.045,0.9414,0,3.021,-0.068,-4.406,0.594,0.061,2,14,0,0.239,0,0,0.049,0.9424,0,-2.836,0.150,-4.719,0.281,0.036,2,14,0,0.186,0,0,0.053,0.9358,0,2.814,0.491,0,0,0.239,0.000,0.000,0.000,0.000
7.0,0.302,-0.216,-4.826,0.174,0.037,2,14,0,0.196,0,0,0.061,0.0882,0,-0.164,3.189,-4.582,0.418,0.022,2,14,0,0.156,0,0,0.045,0.9456,0,-0.402,-2.812,-4.127,0.873,0.038,2,14,0,0.240,0,0,0.035,0.9414,0,3.068,-0.113,-4.584,0.416,0.010,2,14,0,0.202,0,0,0.024,0.9424,0,-2.844,0.173,-4.936,0.064,0.026,2,14,0,0.152,0,0,0.040,0.9358,0,2.779,0.444,0,0,0.240,0.000,0.000,0.000,0.000
8.0,0.288,-0.145,-4.892,0.108,0.035,2,14,0,0.168,0,0,0.012,0.0882,0,-0.198,3.125,-4.600,0.400,0.075,2,14,0,0.187,0,0,0.061,0.9456,0,-0.410,-2.827,-4.225,0.775,0.041,2,14,0,0.166,0,0,0.030,0.9414,0,3.012,-0.097,-4.646,0.354,0.045,2,14,0,0.163,0,0,0.054,0.9424,0,-2.863,0.157,-5.033,-0.033,0.062,2,14,0,0.196,0,0,0.027,0.9358,0,2.735,0.445,0,0,0.196,0.000,0.000,0.000,0.000
9.0,0.209,-0.177,-4.937,0.063,0.063,2,14,0,0.200,0,0,0.084,0.0882,0,-0.117,3.140,-4.604,0.396,0.008,2,14,0,0.197,0,0,0.025,0.9456,0,-0.467,-2.808,-4.232,0.768,0.023,2,14,0,0.230,0,0,0.030,0.9414,0,3.067,-0.090,-4.633,0.367,0.022,2,14,0,0.239,0,0,0.002,0.9424,0,-2.920,0.143,-5.131,-0.131,0.052,2,14,0,0.190,0,0,0.047,0.9358,0,2.806,0.505,0,0,0.239,0.000,0.000,0.000,0.000
10.0,0.284,-0.138,-4.958,0.042,0.008,2,14,0,0.199,0,0,0.018,0.0882,0,-0.135,3.189,-4.660,0.340,0.027,2,14,0,0.184,0,0,0.041,0.9456,0,-0.417,-2.774,-4.337,0.663,0.055,2,14,0,0.194,0,0,0.044,0.9414,0,3.130,-0.080,-4.632,0.368,0.074,2,14,0,0.168,0,0,0.065,0.9424,0,-2.891,0.143,-5.133,-0.133,0.009,2,14,0,0.190,0,0,0.026,0.9358,0,2.798,0.474,0,0,0.199,0.000,0.000,0.000,0.000
