t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d0_planratio,d0_clipn,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d1_planratio,d1_clipn,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d2_planratio,d2_clipn,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d3_planratio,d3_clipn,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,d4_planratio,d4_clipn,d5_x,d5_y,d5_z,d5_zerr,d5_velxy,d5_arm,d5_nav,d5_mpc,d5_solve_ms,d5_fallback,d5_hover,d5_poserr,d5_planratio,d5_clipn,d6_x,d6_y,d6_z,d6_zerr,d6_velxy,d6_arm,d6_nav,d6_mpc,d6_solve_ms,d6_fallback,d6_hover,d6_poserr,d6_planratio,d6_clipn,d7_x,d7_y,d7_z,d7_zerr,d7_velxy,d7_arm,d7_nav,d7_mpc,d7_solve_ms,d7_fallback,d7_hover,d7_poserr,d7_planratio,d7_clipn,d8_x,d8_y,d8_z,d8_zerr,d8_velxy,d8_arm,d8_nav,d8_mpc,d8_solve_ms,d8_fallback,d8_hover,d8_poserr,d8_planratio,d8_clipn,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,-0.105,-0.233,0.092,5.092,0.023,2,14,0,0.284,0,0,0.161,0.0139,0,-0.070,3.157,-0.224,4.776,0.037,2,14,0,0.229,0,0,0.029,0.0958,0,-0.431,-3.118,-0.285,4.715,0.030,0,0,0,0.230,0,0,0.056,0.0997,0,3.101,-0.013,0.410,5.410,0.054,2,14,0,0.242,0,0,0.067,0.0967,0,-2.908,-0.052,-0.399,4.601,0.009,0,0,0,0.239,0,0,0.072,0.0955,0,3.093,3.108,-0.577,4.423,0.029,2,14,0,0.256,0,0,0.036,0.0343,0,-2.988,3.073,-0.226,4.774,0.048,2,14,0,0.230,0,0,0.078,0.0350,0,3.133,-3.038,-0.128,4.872,0.046,2,14,0,0.278,0,0,0.045,0.0329,0,-2.917,-3.084,-0.081,4.919,0.040,2,14,0,0.226,0,0,0.100,0.0372,0,2.494,0.447,0,0,0.284,0.000,0.000,0.000,0.000
2.0,0.010,-0.317,-0.600,4.400,0.101,2,14,0,0.241,0,0,0.023,0.0471,0,-0.114,3.195,-0.926,4.074,0.080,2,14,0,0.272,0,0,0.087,0.0958,0,-0.321,-3.115,-0.904,4.096,0.066,2,14,0,0.269,0,0,0.063,0.0997,0,3.093,-0.007,-0.380,4.620,0.038,2,14,0,0.311,0,1,0.070,0.0967,0,-2.805,-0.006,-0.973,4.027,0.103,2,14,0,0.244,0,0,0.039,0.0955,0,3.083,3.176,-1.232,3.768,0.102,2,14,0,0.226,0,0,0.040,0.0343,0,-2.845,3.078,-0.975,4.025,0.101,2,14,0,0.229,0,0,0.066,0.0350,0,3.196,-3.064,-0.770,4.230,0.064,2,14,0,0.268,0,0,0.097,0.0329,0,-2.796,-3.063,-0.687,4.313,0.102,2,14,0,0.230,0,0,0.039,0.0372,0,2.485,0.342,0,0,0.311,0.000,0.000,0.000,0.000
3.0,0.142,-0.261,-1.636,3.364,0.047,2,14,0,0.241,0,0,0.143,0.0471,0,-0.085,3.169,-1.959,3.041,0.035,2,14,0,0.292,0,0,0.050,0.0958,0,-0.329,-3.103,-2.016,2.984,0.036,2,14,0,0.228,0,0,0.060,0.0997,0,3.049,-0.006,-1.149,3.851,0.044,2,14,0,0.251,0,0,0.073,0.0967,0,-2.761,0.112,-1.988,3.012,0.052,2,14,0,0.338,0,0,0.157,0.0955,0,3.081,3.228,-2.317,2.683,0.041,2,14,0,0.281,0,0,0.092,0.0343,0,-2.739,3.140,-2.086,2.914,0.020,2,14,0,0.253,0,0,0.187,0.0350,0,3.136,-2.971,-1.918,3.082,0.060,2,14,0,0.238,0,0,0.104,0.0329,0,-2.705,-3.055,-1.840,3.160,0.065,2,14,0,0.230,0,0,0.120,0.0372,0,2.383,0.345,0,0,0.338,0.000,0.000,0.000,0.000
4.0,0.140,-0.286,-2.836,2.164,0.066,2,14,0,0.349,0,0,0.130,0.0471,0,0.056,3.079,-3.184,1.816,0.078,2,14,0,0.310,0,0,0.120,0.0958,0,-0.336,-3.065,-3.272,1.728,0.041,2,14,0,0.381,0,0,0.083,0.0997,0,3.072,-0.134,-2.405,2.595,0.068,2,14,0,0.309,0,0,0.059,0.0967,0,-2.786,0.082,-3.240,1.760,0.089,2,14,0,0.369,0,0,0.125,0.0955,0,3.062,3.206,-3.523,1.477,0.047,2,14,0,0.301,0,0,0.071,0.0343,0,-2.778,3.079,-3.376,1.624,0.089,2,14,0,0.310,0,0,0.133,0.0373,0,3.018,-3.041,-3.213,1.787,0.075,2,14,0,0.548,0,0,0.086,0.0329,0,-2.688,-3.069,-3.108,1.892,0.022,2,14,0,0.283,0,0,0.132,0.0372,0,2.358,0.342,0,0,0.548,0.000,0.000,0.000,0.000
5.0,0.048,-0.422,-4.147,0.853,0.126,2,14,0,0.184,0,0,0.088,0.0471,0,0.131,3.132,-4.472,0.528,0.010,2,14,0,0.178,0,0,0.186,0.0958,0,-0.331,-3.017,-4.432,0.568,0.035,2,14,0,0.180,0,0,0.127,0.0997,0,3.116,-0.190,-3.772,1.228,0.018,2,14,0,0.172,0,0,0.124,0.0967,0,-2.831,-0.035,-4.529,0.471,0.112,2,14,0,0.220,0,0,0.014,0.0955,0,3.079,3.167,-4.764,0.236,0.034,2,14,0,0.166,0,0,0.031,0.0343,0,-2.850,3.011,-4.518,0.482,0.114,2,14,0,0.218,0,0,0.085,0.0373,0,2.992,-3.078,-4.440,0.560,0.062,2,14,0,0.181,0,0,0.108,0.0329,0,-2.744,-2.978,-4.438,0.562,0.085,2,14,0,0.174,0,0,0.140,0.0372,0,2.413,0.425,0,0,0.220,0.000,0.000,0.000,0.000
6.0,-0.015,-0.466,-4.667,0.333,0.066,2,14,0,0.179,0,0,0.133,0.0471,0,0.095,3.166,-4.956,0.044,0.057,2,14,0,0.174,0,0,0.151,0.0958,0,-0.356,-3.062,-4.932,0.068,0.092,2,14,0,0.177,0,0,0.081,0.0997,0,3.079,-0.168,-4.418,0.582,0.028,2,14,0,0.170,0,0,0.094,0.0967,0,-2.866,-0.084,-5.255,-0.255,0.065,2,14,0,0.221,0,0,0.060,0.0955,0,3.053,3.112,-5.340,-0.340,0.052,2,14,0,0.378,0,0,0.030,0.0343,0,-2.891,2.977,-4.987,0.013,0.077,2,14,0,0.205,0,0,0.092,0.0373,0,3.036,-3.114,-4.959,0.041,0.060,2,14,0,0.179,0,0,0.078,0.0329,0,-2.795,-2.950,-4.969,0.031,0.085,2,14,0,0.208,0,0,0.149,0.0372,0,2.442,0.466,0,0,0.378,0.000,0.000,0.000,0.000
7.0,-0.067,-0.432,-4.839,0.161,0.059,2,14,0,0.184,0,0,0.131,0.0471,0,0.051,3.135,-5.149,-0.149,0.110,2,14,0,0.205,0,0,0.106,0.0958,0,-0.464,-3.141,-5.152,-0.152,0.075,2,14,0,0.172,0,0,0.084,0.0997,0,3.175,-0.143,-4.663,0.337,0.049,2,14,0,0.146,0,0,0.123,0.0967,0,-2.920,-0.128,-5.463,-0.463,0.029,2,14,0,0.191,0,0,0.127,0.0955,0,3.025,3.149,-5.575,-0.575,0.014,2,14,0,0.179,0,0,0.048,0.0343,0,-2.961,3.026,-5.197,-0.197,0.062,2,14,0,0.149,0,0,0.065,0.0373,0,3.073,-3.176,-5.190,-0.190,0.057,2,14,0,0.180,0,0,0.111,0.0329,0,-2.856,-3.044,-5.163,-0.163,0.100,2,14,0,0.174,0,0,0.065,0.0372,0,2.393,0.485,0,0,0.205,0.000,0.000,0.000,0.000
8.0,-0.030,-0.299,-4.909,0.091,0.083,2,14,0,0.188,0,0,0.063,0.0471,0,-0.041,3.203,-5.265,-0.265,0.095,2,14,0,0.178,0,0,0.072,0.0958,0,-0.377,-3.135,-5.166,-0.166,0.038,2,14,0,0.146,0,0,0.003,0.0997,0,3.178,-0.089,-4.713,0.287,0.073,2,14,0,0.174,0,0,0.106,0.0967,0,-2.883,-0.135,-5.636,-0.636,0.042,2,14,0,0.178,0,0,0.115,0.0955,0,3.027,3.161,-5.717,-0.717,0.004,2,14,0,0.175,0,0,0.050,0.0343,0,-2.933,3.097,-5.335,-0.335,0.029,2,14,0,0.188,0,0,0.038,0.0373,0,3.122,-3.178,-5.232,-0.232,0.029,2,14,0,0.177,0,0,0.112,0.0329,0,-2.903,-3.184,-5.264,-0.264,0.093,2,14,0,0.150,0,0,0.121,0.0372,0,2.529,0.400,0,0,0.188,0.000,0.000,0.000,0.000
9.0,-0.083,-0.210,-4.946,0.054,0.042,2,14,0,0.159,0,0,0.162,0.0471,0,-0.209,3.212,-5.269,-0.269,0.071,2,14,0,0.253,0,0,0.172,0.0958,0,-0.313,-3.163,-5.263,-0.263,0.020,2,14,0,0.176,0,0,0.072,0.0997,0,3.076,-0.010,-4.764,0.236,0.094,2,14,0,0.175,0,0,0.063,0.0967,0,-2.903,-0.161,-5.629,-0.629,0.056,2,14,0,0.219,0,0,0.147,0.0955,0,3.071,3.117,-5.727,-0.727,0.025,2,14,0,0.178,0,0,0.019,0.0343,0,-2.940,3.062,-5.341,-0.341,0.017,2,14,0,0.175,0,0,0.029,0.0373,0,3.076,-3.173,-5.241,-0.241,0.048,2,14,0,0.209,0,0,0.107,0.0329,0,-2.921,-3.273,-5.268,-0.268,0.027,2,14,0,0.175,0,0,0.204,0.0372,0,2.611,0.352,0,0,0.253,0.000,0.000,0.000,0.000
10.0,-0.024,-0.214,-5.017,-0.017,0.076,2,14,0,0.179,0,0,0.132,0.0471,0,-0.280,3.110,-5.334,-0.334,0.065,2,14,0,0.191,0,0,0.227,0.0958,0,-0.368,-3.224,-5.191,-0.191,0.027,2,14,0,0.177,0,0,0.088,0.0997,0,2.973,0.014,-4.748,0.252,0.053,2,14,0,0.184,0,0,0.133,0.0967,0,-2.935,-0.138,-5.674,-0.674,0.091,2,14,0,0.184,0,0,0.147,0.0955,0,3.073,3.108,-5.721,-0.721,0.013,2,14,0,0.175,0,0,0.027,0.0343,0,-2.919,3.078,-5.289,-0.289,0.006,2,14,0,0.215,0,0,0.013,0.0373,0,3.140,-3.140,-5.316,-0.316,0.077,2,14,0,0.177,0,0,0.083,0.0329,0,-2.932,-3.237,-5.273,-0.273,0.064,2,14,0,0.176,0,0,0.181,0.0372,0,2.565,0.431,0,0,0.215,0.000,0.000,0.000,0.000
