t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d0_planratio,d0_clipn,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d1_planratio,d1_clipn,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d2_planratio,d2_clipn,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d3_planratio,d3_clipn,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,d4_planratio,d4_clipn,d5_x,d5_y,d5_z,d5_zerr,d5_velxy,d5_arm,d5_nav,d5_mpc,d5_solve_ms,d5_fallback,d5_hover,d5_poserr,d5_planratio,d5_clipn,d6_x,d6_y,d6_z,d6_zerr,d6_velxy,d6_arm,d6_nav,d6_mpc,d6_solve_ms,d6_fallback,d6_hover,d6_poserr,d6_planratio,d6_clipn,d7_x,d7_y,d7_z,d7_zerr,d7_velxy,d7_arm,d7_nav,d7_mpc,d7_solve_ms,d7_fallback,d7_hover,d7_poserr,d7_planratio,d7_clipn,d8_x,d8_y,d8_z,d8_zerr,d8_velxy,d8_arm,d8_nav,d8_mpc,d8_solve_ms,d8_fallback,d8_hover,d8_poserr,d8_planratio,d8_clipn,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,0.269,-0.192,-1.360,3.640,0.055,2,14,0,0.334,0,0,0.068,0.1450,0,-0.084,3.024,0.265,5.265,0.037,2,14,0,0.329,0,0,0.089,0.9359,0,0.262,-2.990,0.457,5.457,0.038,0,0,0,0.325,0,0,0.081,0.9362,0,2.809,-0.357,-0.799,4.201,0.095,0,0,0,0.412,0,0,0.192,0.9384,0,-3.210,0.120,0.913,5.913,0.008,0,0,0,0.364,0,0,0.039,0.9420,0,3.064,3.005,0.376,5.376,0.093,0,0,0,0.437,0,0,0.074,0.3035,0,-3.222,2.951,-0.400,4.600,0.049,0,0,0,0.432,0,0,0.128,0.2201,0,2.623,-3.049,-0.634,4.366,0.025,2,14,0,0.395,0,0,0.054,0.3433,0,-3.284,-3.325,-0.052,4.948,0.045,0,0,0,0.331,0,0,0.100,0.4108,0,2.602,0.432,0,0,0.437,0.000,0.000,0.000,0.000
2.0,0.304,-0.079,-1.751,3.249,0.019,2,14,0,0.333,0,0,0.053,0.1450,0,-0.070,2.907,-0.207,4.793,0.169,2,14,0,0.273,0,0,0.032,0.9359,0,0.186,-2.883,-0.048,4.952,0.022,2,14,0,0.323,0,0,0.097,0.9362,0,2.547,-0.310,-1.297,3.703,0.125,2,14,0,0.332,0,0,0.086,0.9384,0,-3.269,0.119,0.266,5.266,0.070,2,14,0,0.319,0,0,0.020,0.9420,0,3.190,3.058,-0.136,4.864,0.056,2,14,0,0.270,0,0,0.067,0.3035,0,-3.327,3.119,-0.896,4.104,0.050,2,14,0,0.302,0,0,0.092,0.2201,0,2.675,-3.084,-1.200,3.800,0.134,2,14,0,0.293,0,0,0.033,0.3433,0,-3.150,-3.234,-0.488,4.512,0.093,2,14,0,0.382,0,0,0.067,0.4108,0,2.300,0.549,0,0,0.382,0.000,0.000,0.000,0.000
3.0,0.309,-0.171,-2.880,2.120,0.050,2,14,0,0.389,0,0,0.047,0.1450,0,-0.104,2.924,-0.859,4.141,0.066,2,14,0,0.269,0,0,0.041,0.9359,0,0.206,-2.955,-0.617,4.383,0.067,2,14,0,0.323,0,0,0.036,0.9362,0,2.620,-0.336,-2.321,2.679,0.078,2,14,0,0.379,0,0,0.022,0.9384,0,-3.274,0.130,-0.259,4.741,0.042,2,14,0,0.360,0,1,0.029,0.9420,0,3.221,3.053,-0.828,4.172,0.091,2,14,0,0.302,0,0,0.094,0.3035,0,-3.313,3.065,-1.892,3.108,0.085,2,14,0,0.335,0,0,0.041,0.2201,0,2.708,-3.121,-2.353,2.647,0.053,2,14,0,0.482,0,0,0.065,0.3433,0,-3.193,-3.263,-1.543,3.457,0.056,2,14,0,0.332,0,0,0.011,0.4108,0,2.383,0.507,0,0,0.482,0.000,0.000,0.000,0.000
4.0,0.323,-0.142,-4.051,0.949,0.043,2,14,0,0.237,0,0,0.037,0.1450,0,-0.100,2.936,-2.055,2.945,0.058,2,14,0,0.367,0,0,0.034,0.9359,0,0.166,-2.982,-1.887,3.113,0.017,2,14,0,0.297,0,0,0.016,0.9362,0,2.601,-0.338,-3.513,1.487,0.068,2,14,0,0.210,0,0,0.026,0.9384,0,-3.262,0.100,-0.894,4.106,0.038,2,14,0,0.314,0,0,0.023,0.9420,0,3.147,3.026,-2.016,2.984,0.052,2,14,0,0.364,0,0,0.020,0.3035,0,-3.341,3.022,-3.182,1.818,0.028,2,14,0,0.300,0,0,0.016,0.2201,0,2.683,-3.113,-3.498,1.502,0.078,2,14,0,0.263,0,0,0.040,0.3433,0,-3.223,-3.244,-2.787,2.213,0.039,2,14,0,0.387,0,0,0.031,0.4108,0,2.350,0.523,0,0,0.387,0.000,0.000,0.000,0.000
5.0,0.318,-0.135,-4.551,0.449,0.101,2,14,0,0.204,0,0,0.035,0.1450,0,-0.053,2.989,-3.390,1.610,0.047,2,14,0,0.340,0,0,0.052,0.9359,0,0.153,-2.977,-3.256,1.744,0.065,2,14,0,0.347,0,0,0.030,0.9362,0,2.641,-0.376,-4.102,0.898,0.038,2,14,0,0.209,0,0,0.030,0.9384,0,-3.272,0.134,-2.243,2.757,0.077,2,14,0,0.329,0,0,0.030,0.9420,0,3.135,3.053,-3.351,1.649,0.045,2,14,0,0.375,0,0,0.019,0.3035,0,-3.312,3.046,-4.026,0.974,0.025,2,14,0,0.206,0,0,0.024,0.2201,0,2.604,-3.096,-4.142,0.858,0.062,2,14,0,0.198,0,0,0.044,0.3433,0,-3.193,-3.284,-3.865,1.135,0.042,2,14,0,0.205,0,0,0.019,0.4108,0,2.378,0.520,0,0,0.375,0.000,0.000,0.000,0.000
6.0,0.239,-0.103,-4.760,0.240,0.067,2,14,0,0.173,0,0,0.057,0.1450,0,-0.110,2.991,-4.090,0.910,0.068,2,14,0,0.204,0,0,0.069,0.9359,0,0.227,-2.981,-4.074,0.926,0.018,2,14,0,0.204,0,0,0.044,0.9362,0,2.640,-0.363,-4.287,0.713,0.032,2,14,0,0.170,0,0,0.022,0.9384,0,-3.229,0.163,-3.532,1.468,0.026,2,14,0,0.201,0,0,0.051,0.9420,0,3.056,3.054,-4.043,0.957,0.063,2,14,0,0.198,0,0,0.078,0.3035,0,-3.308,3.027,-4.164,0.836,0.063,2,14,0,0.252,0,0,0.019,0.2201,0,2.593,-3.089,-4.385,0.615,0.053,2,14,0,0.249,0,0,0.054,0.3433,0,-3.178,-3.238,-4.171,0.829,0.050,2,14,0,0.200,0,0,0.038,0.4108,0,2.389,0.511,0,0,0.252,0.000,0.000,0.000,0.000
7.0,0.266,-0.131,-4.833,0.167,0.032,2,14,0,0.209,0,0,0.023,0.1450,0,-0.075,2.994,-4.191,0.809,0.071,2,14,0,0.199,0,0,0.058,0.9359,0,0.202,-3.011,-4.208,0.792,0.076,2,14,0,0.204,0,0,0.039,0.9362,0,2.612,-0.369,-4.387,0.613,0.024,2,14,0,0.242,0,0,0.013,0.9384,0,-3.208,0.097,-4.187,0.813,0.019,2,14,0,0.206,0,0,0.043,0.9420,0,3.074,3.017,-4.184,0.816,0.026,2,14,0,0.241,0,0,0.058,0.3035,0,-3.373,3.035,-4.105,0.895,0.025,2,14,0,0.376,0,0,0.047,0.2201,0,2.603,-3.089,-4.494,0.506,0.029,2,14,0,0.200,0,0,0.043,0.3433,0,-3.193,-3.307,-4.106,0.894,0.037,2,14,0,0.276,0,0,0.040,0.4108,0,2.400,0.536,0,0,0.376,0.000,0.000,0.000,0.000
8.0,0.244,-0.104,-4.860,0.140,0.016,2,14,0,0.204,0,0,0.048,0.1450,0,-0.068,2.951,-4.092,0.908,0.025,2,14,0,0.198,0,0,0.015,0.9359,0,0.207,-2.996,-4.158,0.842,0.049,2,14,0,0.201,0,0,0.029,0.9362,0,2.612,-0.382,-4.460,0.540,0.052,2,14,0,0.251,0,0,0.026,0.9384,0,-3.287,0.102,-4.165,0.835,0.044,2,14,0,0.242,0,0,0.042,0.9420,0,3.102,2.992,-4.189,0.811,0.060,2,14,0,0.208,0,0,0.051,0.3035,0,-3.354,3.008,-4.127,0.873,0.050,2,14,0,0.243,0,0,0.032,0.2201,0,2.632,-3.114,-4.528,0.472,0.069,2,14,0,0.201,0,0,0.023,0.3433,0,-3.215,-3.296,-3.933,1.067,0.057,2,14,0,0.201,0,0,0.032,0.4108,0,2.418,0.545,0,0,0.251,0.000,0.000,0.000,0.000
9.0,0.251,-0.141,-5.021,-0.021,0.111,2,14,0,0.206,0,0,0.043,0.1450,0,-0.053,2.962,-3.977,1.023,0.044,2,14,0,0.197,0,0,0.030,0.9359,0,0.152,-2.972,-3.973,1.027,0.037,2,14,0,0.247,0,0,0.030,0.9362,0,2.649,-0.364,-4.431,0.569,0.042,2,14,0,0.250,0,0,0.031,0.9384,0,-3.246,0.100,-4.040,0.960,0.044,2,14,0,0.191,0,0,0.017,0.9420,0,3.114,2.997,-3.987,1.013,0.014,2,14,0,0.201,0,0,0.038,0.3035,0,-3.307,3.023,-4.154,0.846,0.021,2,14,0,0.177,0,0,0.020,0.2201,0,2.621,-3.112,-4.573,0.427,0.014,2,14,0,0.214,0,0,0.029,0.3433,0,-3.233,-3.283,-3.862,1.138,0.038,2,14,0,0.202,0,0,0.035,0.4108,0,2.480,0.506,0,0,0.250,0.000,0.000,0.000,0.000
10.0,0.277,-0.087,-4.981,0.019,0.045,2,14,0,0.204,0,0,0.044,0.1450,0,-0.059,2.968,-3.766,1.234,0.043,2,14,0,0.200,0,0,0.032,0.9359,0,0.155,-2.940,-3.824,1.176,0.043,2,14,0,0.176,0,0,0.048,0.9362,0,2.605,-0.349,-4.418,0.582,0.017,2,14,0,0.171,0,0,0.015,0.9384,0,-3.241,0.126,-3.927,1.073,0.021,2,14,0,0.206,0,0,0.013,0.9420,0,3.138,3.050,-3.841,1.159,0.014,2,14,0,0.175,0,0,0.018,0.3035,0,-3.313,3.054,-4.093,0.907,0.032,2,14,0,0.243,0,0,0.031,0.2201,0,2.646,-3.136,-4.586,0.414,0.052,2,14,0,0.199,0,0,0.039,0.3433,0,-3.238,-3.250,-3.883,1.117,0.021,2,14,0,0.177,0,0,0.039,0.4108,0,2.409,0.528,0,0,0.243,0.000,0.000,0.000,0.000
