t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d0_planratio,d0_clipn,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d1_planratio,d1_clipn,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d2_planratio,d2_clipn,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d3_planratio,d3_clipn,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,d4_planratio,d4_clipn,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,0.201,-0.128,0.099,5.099,0.041,2,14,-1,0.000,0,0,0.000,0.0000,0,-0.067,3.141,-0.075,4.925,0.032,2,14,0,0.242,0,0,0.075,0.1000,0,-0.147,-2.872,-0.051,4.949,0.055,2,14,0,0.276,0,0,0.060,0.0862,0,3.061,-0.117,-0.027,4.973,0.045,0,0,0,0.283,0,0,0.050,0.0937,0,-3.216,-0.082,-0.066,4.934,0.028,2,14,0,0.276,0,0,0.112,0.0897,0,2.770,0.239,0,0,0.283,0.000,0.000,0.000,0.000
2.0,0.383,-0.143,-0.509,4.491,0.077,2,14,0,0.263,0,0,0.123,0.0345,0,-0.050,3.219,-0.847,4.153,0.129,2,14,0,0.251,0,0,0.057,0.1000,0,-0.059,-2.817,-0.793,4.207,0.133,2,14,0,0.223,0,0,0.060,0.0862,0,3.086,-0.133,-0.752,4.248,0.066,2,14,0,0.268,0,0,0.036,0.0937,0,-3.266,-0.024,-0.780,4.220,0.116,2,14,0,0.219,0,0,0.073,0.0897,0,2.714,0.409,0,0,0.268,0.000,0.000,0.000,0.000
3.0,0.399,-0.100,-1.677,3.323,0.028,2,14,0,0.230,0,0,0.155,0.0345,0,-0.044,3.329,-1.977,3.023,0.053,2,14,0,0.249,0,0,0.138,0.1000,0,0.034,-2.716,-1.926,3.074,0.027,2,14,0,0.218,0,0,0.186,0.0862,0,3.086,-0.125,-1.890,3.110,0.017,2,14,0,0.225,0,0,0.044,0.0937,0,-3.318,0.034,-1.862,3.138,0.062,2,14,0,0.224,0,0,0.098,0.0897,0,2.652,0.411,0,0,0.249,0.000,0.000,0.000,0.000
4.0,0.338,-0.169,-2.977,2.023,0.098,2,14,0,0.285,0,0,0.077,0.0345,0,-0.141,3.350,-3.260,1.740,0.057,2,14,0,0.271,0,0,0.149,0.1000,0,-0.010,-2.669,-3.188,1.812,0.067,2,14,0,0.303,0,0,0.187,0.0862,0,3.130,-0.122,-3.242,1.758,0.031,2,14,0,0.282,0,0,0.075,0.0937,0,-3.364,0.055,-3.135,1.865,0.037,2,14,0,0.275,0,0,0.124,0.0897,0,2.533,0.378,0,0,0.303,0.000,0.000,0.000,0.000
5.0,0.219,-0.196,-4.258,0.742,0.081,2,14,0,0.179,0,0,0.049,0.0345,0,-0.166,3.326,-4.478,0.522,0.067,2,14,0,0.164,0,0,0.135,0.1000,0,-0.077,-2.701,-4.428,0.572,0.113,2,14,0,0.166,0,0,0.127,0.0862,0,3.140,-0.232,-4.389,0.611,0.070,2,14,0,0.168,0,0,0.094,0.0937,0,-3.363,0.070,-4.406,0.594,0.073,2,14,0,0.165,0,0,0.139,0.0897,0,2.528,0.369,0,0,0.179,0.000,0.000,0.000,0.000
6.0,0.171,-0.240,-4.720,0.280,0.043,2,14,0,0.152,0,0,0.114,0.0345,0,-0.154,3.191,-4.887,0.113,0.098,2,14,0,0.165,0,0,0.050,0.1000,0,-0.197,-2.763,-4.937,0.063,0.121,2,14,0,0.164,0,0,0.093,0.0862,0,3.125,-0.226,-4.851,0.149,0.043,2,14,0,0.140,0,0,0.080,0.0937,0,-3.338,0.001,-4.850,0.150,0.104,2,14,0,0.170,0,0,0.070,0.0897,0,2.559,0.338,0,0,0.170,0.000,0.000,0.000,0.000
7.0,0.109,-0.216,-4.842,0.158,0.024,2,14,0,0.179,0,0,0.160,0.0345,0,-0.109,3.066,-5.059,-0.059,0.052,2,14,0,0.164,0,0,0.139,0.1000,0,-0.227,-2.823,-5.139,-0.139,0.086,2,14,0,0.167,0,0,0.105,0.0862,0,3.108,-0.214,-5.034,-0.034,0.061,2,14,0,0.140,0,0,0.061,0.0937,0,-3.347,-0.126,-5.085,-0.085,0.090,2,14,0,0.165,0,0,0.066,0.0897,0,2.645,0.369,0,0,0.179,0.000,0.000,0.000,0.000
8.0,0.142,-0.171,-4.920,0.080,0.073,2,14,0,0.215,0,0,0.119,0.0345,0,-0.149,2.985,-5.165,-0.165,0.024,2,14,0,0.139,0,0,0.224,0.1000,0,-0.167,-2.908,-5.209,-0.209,0.053,2,14,0,0.141,0,0,0.100,0.0862,0,3.066,-0.161,-5.076,-0.076,0.063,2,14,0,0.151,0,0,0.006,0.0937,0,-3.308,-0.198,-5.170,-0.170,0.042,2,14,0,0.138,0,0,0.135,0.0897,0,2.770,0.366,0,0,0.215,0.000,0.000,0.000,0.000
9.0,0.257,-0.242,-4.904,0.096,0.076,2,14,0,0.179,0,0,0.072,0.0345,0,-0.185,2.986,-5.201,-0.201,0.089,2,14,0,0.140,0,0,0.234,0.1000,0,-0.166,-3.003,-5.237,-0.237,0.026,2,14,0,0.139,0,0,0.190,0.0862,0,3.031,-0.064,-5.113,-0.113,0.045,2,14,0,0.172,0,0,0.108,0.0937,0,-3.267,-0.197,-5.166,-0.166,0.033,2,14,0,0.176,0,0,0.146,0.0897,0,2.787,0.353,0,0,0.179,0.000,0.000,0.000,0.000
10.0,0.406,-0.216,-4.991,0.009,0.060,2,14,0,0.184,0,0,0.152,0.0345,0,-0.115,3.067,-5.175,-0.175,0.143,2,14,0,0.163,0,0,0.139,0.1000,0,-0.143,-2.985,-5.239,-0.239,0.066,2,14,0,0.165,0,0,0.168,0.0862,0,2.988,-0.047,-5.192,-0.192,0.033,2,14,0,0.166,0,0,0.147,0.0937,0,-3.258,-0.160,-5.141,-0.141,0.067,2,14,0,0.167,0,0,0.118,0.0897,0,2.595,0.460,0,0,0.184,0.000,0.000,0.000,0.000
