t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d0_planratio,d0_clipn,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d1_planratio,d1_clipn,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d2_planratio,d2_clipn,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d3_planratio,d3_clipn,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,d4_planratio,d4_clipn,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,0.200,-0.107,-0.838,4.162,0.090,2,14,0,0.328,0,0,0.114,0.1663,0,0.311,2.971,0.240,5.240,0.114,2,14,0,0.316,0,0,0.045,0.9411,0,0.262,-3.283,-0.657,4.343,0.044,2,14,0,0.358,0,0,0.063,0.9348,0,2.655,0.243,0.182,5.182,0.083,2,14,0,0.317,0,0,0.071,0.9467,0,-3.196,0.239,-0.027,4.973,0.043,2,14,0,0.318,0,0,0.007,0.9461,0,2.681,0.422,0,0,0.358,0.000,0.000,0.000,0.000
2.0,0.350,-0.117,-1.892,3.108,0.128,2,14,0,0.349,0,0,0.039,0.2355,0,0.377,3.004,-0.416,4.584,0.102,2,14,0,0.299,0,0,0.035,0.9411,0,0.210,-3.173,-1.213,3.787,0.043,2,14,0,0.423,0,0,0.058,0.9348,0,2.697,0.294,-0.395,4.605,0.035,2,14,0,0.259,0,0,0.007,0.9467,0,-3.206,0.252,-0.620,4.380,0.055,2,14,0,0.387,0,0,0.009,0.9461,0,2.814,0.423,0,0,0.423,0.000,0.000,0.000,0.000
3.0,0.356,-0.102,-3.155,1.845,0.092,2,14,0,0.396,0,0,0.044,0.2355,0,0.352,2.991,-1.485,3.515,0.056,2,14,0,0.290,0,0,0.011,0.9411,0,0.197,-3.210,-2.302,2.698,0.060,2,14,0,0.360,0,0,0.041,0.9348,0,2.721,0.288,-1.539,3.461,0.074,2,14,0,0.285,0,0,0.030,0.9467,0,-3.182,0.238,-1.759,3.241,0.058,2,14,0,0.378,0,0,0.021,0.9461,0,2.891,0.401,0,0,0.396,0.000,0.000,0.000,0.000
4.0,0.322,-0.060,-4.441,0.559,0.044,2,14,0,0.244,0,0,0.050,0.2355,0,0.400,2.990,-2.704,2.296,0.046,2,14,0,0.280,0,0,0.052,0.9411,0,0.260,-3.166,-3.613,1.387,0.049,2,14,0,0.318,0,0,0.064,0.9348,0,2.659,0.336,-2.815,2.185,0.017,2,14,0,0.378,0,0,0.049,0.9467,0,-3.253,0.240,-3.016,1.984,0.049,2,14,0,0.385,0,0,0.053,0.9461,0,2.874,0.479,0,0,0.385,0.000,0.000,0.000,0.000
5.0,0.272,-0.089,-4.832,0.168,0.096,2,14,0,0.241,0,0,0.051,0.2355,0,0.387,2.992,-3.898,1.102,0.069,2,14,0,0.190,0,0,0.043,0.9411,0,0.262,-3.209,-4.243,0.757,0.010,2,14,0,0.198,0,0,0.030,0.9348,0,2.739,0.286,-3.929,1.071,0.038,2,14,0,0.199,0,0,0.047,0.9467,0,-3.205,0.286,-3.982,1.018,0.030,2,14,0,0.227,0,0,0.042,0.9461,0,2.653,0.387,0,0,0.241,0.000,0.000,0.000,0.000
6.0,0.343,-0.108,-4.857,0.143,0.064,2,14,0,0.200,0,0,0.030,0.2355,0,0.364,2.968,-4.173,0.827,0.021,2,14,0,0.192,0,0,0.034,0.9411,0,0.276,-3.264,-4.509,0.491,0.060,2,14,0,0.234,0,0,0.056,0.9348,0,2.689,0.241,-4.174,0.826,0.046,2,14,0,0.159,0,0,0.060,0.9467,0,-3.184,0.282,-4.151,0.849,0.072,2,14,0,0.188,0,0,0.041,0.9461,0,2.468,0.393,0,0,0.234,0.000,0.000,0.000,0.000
7.0,0.295,-0.051,-4.928,0.072,0.090,2,14,0,0.199,0,0,0.064,0.2355,0,0.333,3.011,-4.195,0.805,0.009,2,14,0,0.192,0,0,0.018,0.9411,0,0.210,-3.235,-4.593,0.407,0.040,2,14,0,0.202,0,0,0.026,0.9348,0,2.725,0.324,-4.157,0.843,0.034,2,14,0,0.190,0,0,0.038,0.9467,0,-3.201,0.218,-4.211,0.789,0.039,2,14,0,0.189,0,0,0.026,0.9461,0,2.576,0.425,0,0,0.202,0.000,0.000,0.000,0.000
8.0,0.249,-0.110,-4.982,0.018,0.074,2,14,0,0.209,0,0,0.065,0.2355,0,0.273,3.041,-4.018,0.982,0.073,2,14,0,0.188,0,0,0.084,0.9411,0,0.264,-3.246,-4.630,0.370,0.021,2,14,0,0.207,0,0,0.035,0.9348,0,2.645,0.322,-4.066,0.934,0.049,2,14,0,0.191,0,0,0.054,0.9467,0,-3.197,0.263,-4.216,0.784,0.015,2,14,0,0.187,0,0,0.018,0.9461,0,2.601,0.479,0,0,0.209,0.000,0.000,0.000,0.000
9.0,0.332,-0.159,-4.995,0.005,0.076,2,14,0,0.200,0,0,0.053,0.2355,0,0.317,3.022,-3.938,1.062,0.052,2,14,0,0.188,0,0,0.038,0.9411,0,0.219,-3.222,-4.663,0.337,0.021,2,14,0,0.204,0,0,0.016,0.9348,0,2.648,0.323,-3.959,1.041,0.048,2,14,0,0.192,0,0,0.052,0.9467,0,-3.210,0.246,-4.223,0.777,0.038,2,14,0,0.192,0,0,0.011,0.9461,0,2.582,0.478,0,0,0.204,0.000,0.000,0.000,0.000
10.0,0.264,-0.124,-4.909,0.091,0.043,2,14,0,0.199,0,0,0.052,0.2355,0,0.337,2.997,-3.890,1.110,0.012,2,14,0,0.159,0,0,0.008,0.9411,0,0.275,-3.191,-4.728,0.272,0.059,2,14,0,0.191,0,0,0.053,0.9348,0,2.662,0.288,-3.928,1.072,0.024,2,14,0,0.188,0,0,0.034,0.9467,0,-3.252,0.232,-4.263,0.737,0.037,2,14,0,0.235,0,0,0.054,0.9461,0,2.623,0.444,0,0,0.235,0.000,0.000,0.000,0.000
