t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d0_planratio,d0_clipn,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d1_planratio,d1_clipn,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d2_planratio,d2_clipn,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d3_planratio,d3_clipn,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,d4_planratio,d4_clipn,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,-0.042,0.161,-0.551,4.449,0.077,2,14,0,0.327,0,0,0.097,0.0210,0,-0.115,2.961,-0.224,4.776,0.049,0,0,0,0.223,0,0,0.137,0.0304,0,0.302,-2.992,0.376,5.376,0.050,0,0,0,0.235,0,0,0.018,0.0984,0,2.721,-0.056,0.730,5.730,0.046,0,0,0,0.194,0,0,0.065,0.0943,0,-3.303,-0.103,-0.180,4.820,0.037,2,14,0,0.255,0,0,0.066,0.0967,0,2.820,0.320,0,0,0.327,0.000,0.000,0.000,0.000
2.0,0.084,0.059,-1.341,3.659,0.074,2,14,0,0.306,0,0,0.079,0.0376,0,-0.073,2.847,-1.019,3.981,0.038,2,14,0,0.425,0,0,0.096,0.0304,0,0.372,-2.942,-0.450,4.550,0.110,2,14,0,0.360,0,1,0.089,0.0984,0,2.769,0.068,-0.072,4.928,0.142,2,14,0,0.286,0,1,0.087,0.0943,0,-3.238,-0.118,-0.902,4.098,0.046,2,14,0,0.218,0,0,0.037,0.0967,0,2.811,0.376,0,0,0.425,0.000,0.000,0.000,0.000
3.0,0.075,0.055,-2.543,2.457,0.037,2,14,0,0.283,0,0,0.074,0.0376,0,-0.139,2.844,-2.225,2.775,0.075,2,14,0,0.303,0,0,0.032,0.0304,0,0.351,-2.882,-1.131,3.869,0.045,2,14,0,0.251,0,0,0.113,0.0984,0,2.760,0.135,-0.441,4.559,0.012,2,14,0,0.244,0,1,0.142,0.0943,0,-3.138,-0.105,-2.066,2.934,0.026,2,14,0,0.349,0,0,0.126,0.0967,0,2.816,0.370,0,0,0.349,0.000,0.000,0.000,0.000
4.0,0.080,0.028,-3.756,1.244,0.033,2,14,0,0.165,0,0,0.090,0.0376,0,-0.183,2.817,-3.476,1.524,0.054,2,14,0,0.170,0,0,0.023,0.0304,0,0.271,-2.933,-2.408,2.592,0.083,2,14,0,0.304,0,0,0.049,0.0984,0,2.754,0.015,-1.403,3.597,0.099,2,14,0,0.283,0,0,0.051,0.0943,0,-3.142,-0.159,-3.331,1.669,0.057,2,14,0,0.294,0,0,0.114,0.0967,0,2.815,0.279,0,0,0.304,0.000,0.000,0.000,0.000
5.0,0.018,0.072,-4.530,0.470,0.049,2,14,0,0.168,0,0,0.016,0.0376,0,-0.224,2.775,-4.177,0.823,0.050,2,14,0,0.169,0,0,0.083,0.0304,0,0.265,-3.031,-3.726,1.274,0.076,2,14,0,0.180,0,0,0.059,0.0984,0,2.749,-0.069,-2.730,2.270,0.085,2,14,0,0.355,0,0,0.088,0.0943,0,-3.214,-0.186,-4.081,0.919,0.064,2,14,0,0.163,0,0,0.055,0.0967,0,2.737,0.317,0,0,0.355,0.000,0.000,0.000,0.000
6.0,0.015,0.079,-4.849,0.151,0.026,2,14,0,0.173,0,0,0.011,0.0376,0,-0.320,2.727,-4.398,0.602,0.018,2,14,0,0.237,0,0,0.186,0.0304,0,0.235,-3.142,-4.191,0.809,0.037,2,14,0,0.264,0,0,0.172,0.0984,0,2.698,-0.028,-3.939,1.061,0.056,2,14,0,0.163,0,0,0.034,0.0943,0,-3.353,-0.145,-4.276,0.724,0.094,2,14,0,0.204,0,0,0.097,0.0967,0,2.707,0.421,0,0,0.264,0.000,0.000,0.000,0.000
7.0,-0.069,-0.015,-4.949,0.051,0.046,2,14,0,0.171,0,0,0.115,0.0376,0,-0.247,2.718,-4.501,0.499,0.083,2,14,0,0.162,0,0,0.145,0.0337,0,0.329,-3.115,-4.232,0.768,0.048,2,14,0,0.180,0,0,0.143,0.0984,0,2.584,0.010,-4.241,0.759,0.052,2,14,0,0.168,0,0,0.118,0.0943,0,-3.435,-0.130,-4.385,0.615,0.011,2,14,0,0.169,0,0,0.181,0.0967,0,2.746,0.454,0,0,0.180,0.000,0.000,0.000,0.000
8.0,-0.088,-0.004,-4.940,0.060,0.032,2,14,0,0.144,0,0,0.123,0.0376,0,-0.128,2.758,-4.530,0.470,0.091,2,14,0,0.166,0,0,0.089,0.0345,0,0.327,-3.032,-4.127,0.873,0.071,2,14,0,0.209,0,0,0.067,0.0984,0,2.602,-0.003,-4.230,0.770,0.017,2,14,0,0.142,0,0,0.103,0.0943,0,-3.413,-0.179,-4.468,0.532,0.054,2,14,0,0.135,0,0,0.160,0.0967,0,2.782,0.450,0,0,0.209,0.000,0.000,0.000,0.000
9.0,-0.089,-0.020,-4.943,0.057,0.047,2,14,0,0.142,0,0,0.132,0.0376,0,-0.041,2.817,-4.634,0.366,0.069,2,14,0,0.261,0,0,0.130,0.0345,0,0.298,-2.962,-4.015,0.985,0.061,2,14,0,0.185,0,0,0.018,0.0984,0,2.676,0.017,-4.084,0.916,0.047,2,14,0,0.199,0,0,0.031,0.0943,0,-3.298,-0.185,-4.457,0.543,0.097,2,14,0,0.166,0,0,0.055,0.0967,0,2.853,0.351,0,0,0.261,0.000,0.000,0.000,0.000
10.0,-0.053,-0.015,-5.007,-0.007,0.076,2,14,0,0.145,0,0,0.107,0.0376,0,-0.077,2.892,-4.609,0.391,0.063,2,14,0,0.166,0,0,0.107,0.0345,0,0.303,-2.994,-3.997,1.003,0.022,2,14,0,0.151,0,0,0.020,0.0984,0,2.660,0.013,-3.920,1.080,0.037,2,14,0,0.137,0,0,0.045,0.0943,0,-3.209,-0.174,-4.438,0.562,0.058,2,14,0,0.176,0,0,0.052,0.0967,0,2.923,0.340,0,0,0.176,0.000,0.000,0.000,0.000
