t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d0_planratio,d0_clipn,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d1_planratio,d1_clipn,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d2_planratio,d2_clipn,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d3_planratio,d3_clipn,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,d4_planratio,d4_clipn,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,0.280,0.001,-0.015,4.985,0.010,0,0,0,0.336,0,0,0.018,0.0703,0,0.260,3.139,-0.280,4.720,0.107,2,14,0,0.330,0,0,0.101,0.9425,0,-0.126,-2.965,0.764,5.764,0.077,2,14,-1,0.000,0,0,0.000,0.0000,0,3.079,-0.040,-0.390,4.610,0.048,2,14,0,0.334,0,0,0.095,0.9429,0,-3.310,0.191,-0.250,4.750,0.149,2,14,0,0.338,0,0,0.184,0.9366,0,2.824,0.364,0,0,0.338,0.000,0.000,0.000,0.000
2.0,0.251,0.066,-0.479,4.521,0.059,2,14,0,0.315,0,0,0.058,0.0978,0,0.265,3.006,-0.879,4.121,0.131,2,14,0,0.286,0,0,0.050,0.9425,0,-0.110,-3.119,0.160,5.160,0.138,2,14,0,0.308,0,1,0.063,0.9420,0,2.993,0.020,-0.863,4.137,0.089,2,14,0,0.305,0,0,0.045,0.9429,0,-3.010,0.109,-0.758,4.242,0.216,2,14,0,0.388,0,0,0.132,0.9366,0,2.769,0.265,0,0,0.388,0.000,0.000,0.000,0.000
3.0,0.310,-0.015,-1.613,3.387,0.061,2,14,0,0.313,0,0,0.051,0.0978,0,0.309,3.031,-1.962,3.038,0.043,2,14,0,0.321,0,0,0.022,0.9425,0,-0.197,-3.141,-0.317,4.683,0.041,2,14,0,0.450,0,1,0.123,0.9420,0,2.979,-0.031,-1.915,3.085,0.043,2,14,0,0.380,0,0,0.008,0.9429,0,-3.105,0.127,-1.788,3.212,0.036,2,14,0,0.295,0,0,0.036,0.9366,0,2.686,0.311,0,0,0.450,0.000,0.000,0.000,0.000
4.0,0.297,0.042,-2.849,2.151,0.050,2,14,0,0.384,0,0,0.045,0.0978,0,0.291,3.064,-3.282,1.718,0.030,2,14,0,0.392,0,0,0.016,0.9425,0,-0.125,-3.074,-1.026,3.974,0.165,2,14,0,0.277,0,0,0.028,0.9420,0,3.046,-0.040,-3.175,1.825,0.036,2,14,0,0.407,0,0,0.062,0.9429,0,-3.168,0.165,-3.060,1.940,0.063,2,14,0,0.393,0,0,0.037,0.9366,0,2.770,0.300,0,0,0.407,0.000,0.000,0.000,0.000
5.0,0.229,0.001,-4.085,0.915,0.046,2,14,0,0.216,0,0,0.035,0.0978,0,0.238,3.038,-4.477,0.523,0.039,2,14,0,0.236,0,0,0.056,0.9425,0,-0.071,-2.991,-2.473,2.527,0.097,2,14,0,0.422,0,0,0.075,0.9420,0,2.990,-0.033,-4.371,0.629,0.012,2,14,0,0.203,0,0,0.009,0.9429,0,-3.137,0.175,-4.245,0.755,0.045,2,14,0,0.203,0,0,0.024,0.9366,0,2.776,0.241,0,0,0.422,0.000,0.000,0.000,0.000
6.0,0.253,0.046,-4.657,0.343,0.009,2,14,0,0.221,0,0,0.038,0.0978,0,0.303,3.107,-4.933,0.067,0.099,2,14,0,0.199,0,0,0.064,0.9425,0,-0.094,-2.985,-3.754,1.246,0.072,2,14,0,0.234,0,0,0.072,0.9420,0,2.974,0.006,-4.974,0.026,0.041,2,14,0,0.197,0,0,0.033,0.9429,0,-3.164,0.147,-4.860,0.140,0.018,2,14,0,0.201,0,0,0.032,0.9366,0,2.739,0.322,0,0,0.234,0.000,0.000,0.000,0.000
7.0,0.258,0.056,-4.794,0.206,0.052,2,14,0,0.216,0,0,0.047,0.0978,0,0.296,3.069,-5.109,-0.109,0.050,2,14,0,0.160,0,0,0.025,0.9425,0,-0.103,-3.024,-4.194,0.806,0.030,2,14,0,0.201,0,0,0.032,0.9420,0,3.016,-0.009,-5.170,-0.170,0.037,2,14,0,0.166,0,0,0.035,0.9429,0,-3.148,0.182,-4.962,0.038,0.036,2,14,0,0.200,0,0,0.036,0.9366,0,2.785,0.304,0,0,0.216,0.000,0.000,0.000,0.000
8.0,0.226,0.031,-4.831,0.169,0.055,2,14,0,0.219,0,0,0.044,0.0978,0,0.293,3.002,-5.190,-0.190,0.057,2,14,0,0.196,0,0,0.043,0.9425,0,-0.117,-3.033,-4.200,0.800,0.052,2,14,0,0.168,0,0,0.025,0.9420,0,2.987,-0.031,-5.312,-0.312,0.047,2,14,0,0.200,0,0,0.006,0.9429,0,-3.130,0.174,-5.122,-0.122,0.045,2,14,0,0.226,0,0,0.023,0.9366,0,2.803,0.293,0,0,0.226,0.000,0.000,0.000,0.000
9.0,0.227,0.023,-4.917,0.083,0.080,2,14,0,0.182,0,0,0.041,0.0978,0,0.285,3.040,-5.269,-0.269,0.015,2,14,0,0.170,0,0,0.009,0.9425,0,-0.125,-3.069,-4.133,0.867,0.016,2,14,0,0.175,0,0,0.023,0.9420,0,2.992,-0.074,-5.302,-0.302,0.044,2,14,0,0.164,0,0,0.049,0.9429,0,-3.159,0.170,-5.114,-0.114,0.061,2,14,0,0.205,0,0,0.032,0.9366,0,2.794,0.288,0,0,0.205,0.000,0.000,0.000,0.000
10.0,0.224,0.064,-4.898,0.102,0.041,2,14,0,0.187,0,0,0.066,0.0978,0,0.326,3.064,-5.236,-0.236,0.067,2,14,0,0.167,0,0,0.038,0.9425,0,-0.112,-3.065,-4.160,0.840,0.020,2,14,0,0.164,0,0,0.010,0.9420,0,2.934,-0.043,-5.197,-0.197,0.037,2,14,0,0.203,0,0,0.053,0.9429,0,-3.161,0.155,-5.153,-0.153,0.039,2,14,0,0.213,0,0,0.029,0.9366,0,2.728,0.332,0,0,0.213,0.000,0.000,0.000,0.000
11.0,0.262,0.042,-4.991,0.009,0.079,2,14,0,0.220,0,0,0.033,0.0978,0,0.317,3.092,-5.229,-0.229,0.044,2,14,0,0.199,0,0,0.053,0.9425,0,-0.141,-3.051,-4.163,0.837,0.049,2,14,0,0.163,0,0,0.034,0.9420,0,3.031,-0.011,-5.283,-0.283,0.036,2,14,0,0.165,0,0,0.048,0.9429,0,-3.121,0.117,-5.166,-0.166,0.053,2,14,0,0.199,0,0,0.037,0.9366,0,2.785,0.330,0,0,0.220,0.000,0.000,0.000,0.000
12.0,0.247,0.030,-4.959,0.041,0.042,2,14,0,0.215,0,0,0.027,0.0978,0,0.278,3.069,-5.231,-0.231,0.017,2,14,0,0.198,0,0,0.028,0.9425,0,-0.097,-3.073,-4.180,0.820,0.051,2,14,0,0.178,0,0,0.021,0.9420,0,3.045,-0.024,-5.250,-0.250,0.066,2,14,0,0.244,0,0,0.061,0.9429,0,-3.126,0.143,-5.211,-0.211,0.061,2,14,0,0.202,0,0,0.012,0.9366,0,2.814,0.286,0,0,0.244,0.000,0.000,0.000,0.000
13.0,0.291,0.023,-4.966,0.034,0.036,2,14,0,0.187,0,0,0.029,0.0978,0,0.300,3.026,-5.235,-0.235,0.014,2,14,0,0.192,0,0,0.020,0.9425,0,-0.064,-3.054,-4.178,0.822,0.061,2,14,0,0.187,0,0,0.044,0.9420,0,2.996,0.014,-5.259,-0.259,0.075,2,14,0,0.237,0,0,0.042,0.9429,0,-3.138,0.149,-5.201,-0.201,0.019,2,14,0,0.168,0,0,0.006,0.9366,0,2.721,0.301,0,0,0.237,0.000,0.000,0.000,0.000
14.0,0.297,0.059,-4.972,0.028,0.079,2,14,0,0.213,0,0,0.059,0.0978,0,0.327,3.060,-5.291,-0.291,0.049,2,14,0,0.171,0,0,0.037,0.9425,0,-0.125,-3.080,-4.130,0.870,0.022,2,14,0,0.208,0,0,0.029,0.9420,0,2.994,-0.029,-5.268,-0.268,0.015,2,14,0,0.165,0,0,0.010,0.9429,0,-3.173,0.132,-5.192,-0.192,0.083,2,14,0,0.197,0,0,0.046,0.9366,0,2.715,0.333,0,0,0.213,0.000,0.000,0.000,0.000
15.0,0.314,0.017,-5.031,-0.031,0.029,2,14,0,0.194,0,0,0.050,0.0978,0,0.302,3.072,-5.351,-0.351,0.030,2,14,0,0.194,0,0,0.027,0.9425,0,-0.142,-3.067,-4.133,0.867,0.014,2,14,0,0.199,0,0,0.035,0.9420,0,2.989,-0.024,-5.304,-0.304,0.024,2,14,0,0.206,0,0,0.005,0.9429,0,-3.132,0.154,-5.207,-0.207,0.020,2,14,0,0.165,0,0,0.003,0.9366,0,2.690,0.314,0,0,0.206,0.000,0.000,0.000,0.000
16.0,0.246,-0.009,-5.032,-0.032,0.031,2,14,0,0.214,0,0,0.026,0.0978,0,0.264,3.085,-5.296,-0.296,0.052,2,14,0,0.163,0,0,0.050,0.9425,0,-0.162,-3.036,-4.092,0.908,0.076,2,14,0,0.229,0,0,0.059,0.9420,0,2.932,-0.045,-5.336,-0.336,0.050,2,14,0,0.167,0,0,0.057,0.9429,0,-3.092,0.149,-5.255,-0.255,0.038,2,14,0,0.161,0,0,0.041,0.9366,0,2.703,0.277,0,0,0.229,0.000,0.000,0.000,0.000
17.0,0.276,0.019,-5.082,-0.082,0.024,2,14,0,0.194,0,0,0.015,0.0978,0,0.268,3.025,-5.289,-0.289,0.020,2,14,0,0.243,0,0,0.032,0.9425,0,-0.092,-3.049,-4.099,0.901,0.027,2,14,0,0.207,0,0,0.018,0.9420,0,3.015,-0.047,-5.303,-0.303,0.032,2,14,0,0.168,0,0,0.037,0.9429,0,-3.058,0.171,-5.286,-0.286,0.107,2,14,0,0.168,0,0,0.078,0.9366,0,2.749,0.276,0,0,0.243,0.000,0.000,0.000,0.000
18.0,0.259,0.039,-5.080,-0.080,0.049,2,14,0,0.203,0,0,0.031,0.0978,0,0.295,3.066,-5.287,-0.287,0.053,2,14,0,0.237,0,0,0.021,0.9425,0,-0.093,-3.022,-4.127,0.873,0.020,2,14,0,0.196,0,0,0.036,0.9420,0,3.013,-0.019,-5.300,-0.300,0.039,2,14,0,0.196,0,0,0.031,0.9429,0,-3.169,0.142,-5.263,-0.263,0.012,2,14,0,0.164,0,0,0.037,0.9366,0,2.763,0.302,0,0,0.237,0.000,0.000,0.000,0.000
19.0,0.233,0.016,-4.990,0.010,0.050,2,14,0,0.175,0,0,0.033,0.0978,0,0.341,3.033,-5.284,-0.284,0.067,2,14,0,0.194,0,0,0.050,0.9425,0,-0.082,-3.064,-4.155,0.845,0.080,2,14,0,0.236,0,0,0.028,0.9420,0,2.972,0.014,-5.311,-0.311,0.056,2,14,0,0.197,0,0,0.042,0.9429,0,-3.199,0.153,-5.173,-0.173,0.078,2,14,0,0.195,0,0,0.067,0.9366,0,2.758,0.343,0,0,0.236,0.000,0.000,0.000,0.000
