t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d0_planratio,d0_clipn,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d1_planratio,d1_clipn,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d2_planratio,d2_clipn,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d3_planratio,d3_clipn,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,d4_planratio,d4_clipn,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,0.211,0.146,0.604,5.604,0.236,2,14,0,0.233,0,0,1.158,0.1536,0,0.100,3.266,-0.292,4.708,0.129,2,14,-1,0.000,0,0,0.000,0.0000,0,-0.024,-2.909,-0.632,4.368,0.181,2,14,0,0.303,0,0,0.777,0.1102,0,2.880,-0.015,-0.385,4.615,0.143,2,14,0,0.225,0,0,0.804,0.1113,0,-2.990,0.243,0.384,5.384,0.216,2,14,0,0.223,0,0,0.951,0.1443,0,2.851,0.284,0,0,0.303,0.000,0.000,0.000,0.000
2.0,-0.177,-0.197,-0.107,4.893,0.671,2,14,0,0.231,0,1,0.645,0.2428,0,-0.152,3.054,-0.972,4.028,0.391,2,14,0,0.228,0,0,0.347,0.1382,0,0.386,-3.071,-1.307,3.693,0.501,2,14,0,0.466,0,0,0.356,0.1823,0,2.582,0.327,-1.176,3.824,0.599,2,14,0,0.225,0,0,0.360,0.1825,0,-2.613,0.634,-0.295,4.705,0.673,2,14,0,0.224,0,1,0.440,0.2174,0,2.580,0.743,0,0,0.466,0.000,0.000,0.000,0.000
3.0,-0.508,-0.289,-0.508,4.492,0.133,2,14,0,0.286,0,0,0.331,0.2428,0,-0.505,2.919,-2.197,2.803,0.361,2,14,0,0.269,0,0,0.086,0.1382,0,0.698,-3.326,-2.402,2.598,0.387,2,14,0,0.276,0,0,0.066,0.1823,0,2.310,0.736,-2.319,2.681,0.407,2,14,0,0.357,0,0,0.197,0.1825,0,-2.345,0.890,-0.857,4.143,0.152,2,14,0,0.224,0,0,0.216,0.2174,0,2.211,1.105,0,0,0.357,0.000,0.000,0.000,0.000
4.0,-0.663,-0.458,-1.719,3.281,0.196,2,14,0,0.255,0,0,0.102,0.2428,0,-0.758,2.738,-3.446,1.554,0.198,2,14,0,0.359,0,0,0.342,0.1382,0,0.945,-3.571,-3.659,1.341,0.219,2,14,0,0.379,0,0,0.396,0.1823,0,2.083,0.993,-3.590,1.410,0.175,2,14,0,0.304,0,0,0.499,0.1825,0,-2.327,0.977,-2.117,2.883,0.087,2,14,0,0.244,0,0,0.182,0.2174,0,2.234,1.352,0,0,0.379,0.000,0.000,0.000,0.000
5.0,-0.813,-0.609,-3.038,1.962,0.137,2,14,0,0.311,0,0,0.109,0.2428,0,-0.811,2.716,-4.652,0.348,0.031,2,14,0,0.175,0,0,0.401,0.1382,0,1.012,-3.728,-4.878,0.122,0.046,2,14,0,0.166,0,0,0.557,0.1823,0,2.018,0.940,-4.766,0.234,0.151,2,14,0,0.170,0,0,0.489,0.1825,0,-2.407,1.055,-3.558,1.442,0.127,2,14,0,0.316,0,0,0.087,0.2174,0,2.362,1.360,0,0,0.316,0.000,0.000,0.000,0.000
6.0,-0.846,-0.681,-4.262,0.738,0.051,2,14,0,0.176,0,0,0.192,0.2428,0,-0.725,2.641,-5.295,-0.295,0.163,2,14,0,0.220,0,0,0.364,0.1382,0,0.947,-3.696,-5.390,-0.390,0.249,2,14,0,0.167,0,0,0.490,0.1823,0,2.105,0.850,-5.340,-0.340,0.272,2,14,0,0.173,0,0,0.365,0.1825,0,-2.400,1.069,-4.589,0.411,0.103,2,14,0,0.217,0,0,0.097,0.2174,0,2.363,1.234,0,0,0.220,0.000,0.000,0.000,0.000
7.0,-0.872,-0.661,-4.740,0.260,0.077,2,14,0,0.151,0,0,0.193,0.2428,0,-0.645,2.694,-5.658,-0.658,0.226,2,14,0,0.211,0,0,0.269,0.1382,0,0.607,-3.429,-5.626,-0.626,0.363,2,14,0,0.170,0,0,0.108,0.1823,0,2.311,0.563,-5.674,-0.674,0.332,2,14,0,0.169,0,0,0.028,0.1825,0,-2.505,1.049,-4.884,0.116,0.126,2,14,0,0.167,0,0,0.010,0.2174,0,2.368,1.160,0,0,0.211,0.000,0.000,0.000,0.000
8.0,-0.716,-0.584,-4.900,0.100,0.146,2,14,0,0.176,0,0,0.051,0.2428,0,-0.388,2.819,-5.762,-0.762,0.270,2,14,0,0.199,0,0,0.067,0.1382,0,0.545,-3.201,-5.963,-0.963,0.240,2,14,0,0.202,0,0,0.149,0.1823,0,2.529,0.331,-5.948,-0.948,0.231,2,14,0,0.176,0,0,0.309,0.1825,0,-2.683,1.032,-5.014,-0.014,0.097,2,14,0,0.140,0,0,0.190,0.2174,0,2.548,1.079,0,0,0.202,0.000,0.000,0.000,0.000
9.0,-0.564,-0.485,-4.915,0.085,0.126,2,14,0,0.181,0,0,0.170,0.2428,0,-0.145,2.937,-5.894,-0.894,0.155,2,14,0,0.177,0,0,0.303,0.1382,0,0.532,-3.081,-6.125,-1.125,0.095,2,14,0,0.141,0,0,0.262,0.1823,0,2.548,0.189,-6.053,-1.053,0.072,2,14,0,0.188,0,0,0.431,0.1825,0,-2.689,1.023,-5.054,-0.054,0.009,2,14,0,0.300,0,0,0.197,0.2174,0,2.610,1.069,0,0,0.300,0.000,0.000,0.000,0.000
10.0,-0.574,-0.406,-4.968,0.032,0.052,2,14,0,0.175,0,0,0.199,0.2428,0,-0.119,2.991,-5.914,-0.914,0.048,2,14,0,0.174,0,0,0.345,0.1382,0,0.483,-3.093,-6.248,-1.248,0.050,2,14,0,0.170,0,0,0.274,0.1823,0,2.478,0.183,-6.084,-1.084,0.129,2,14,0,0.202,0,0,0.400,0.1825,0,-2.713,1.033,-5.015,-0.015,0.054,2,14,0,0.145,0,0,0.219,0.2174,0,2.579,1.072,0,0,0.202,0.000,0.000,0.000,0.000
