t,d0_x,d0_y,d0_z,d0_zerr,d0_velxy,d0_arm,d0_nav,d0_mpc,d0_solve_ms,d0_fallback,d0_hover,d0_poserr,d0_planratio,d0_clipn,d1_x,d1_y,d1_z,d1_zerr,d1_velxy,d1_arm,d1_nav,d1_mpc,d1_solve_ms,d1_fallback,d1_hover,d1_poserr,d1_planratio,d1_clipn,d2_x,d2_y,d2_z,d2_zerr,d2_velxy,d2_arm,d2_nav,d2_mpc,d2_solve_ms,d2_fallback,d2_hover,d2_poserr,d2_planratio,d2_clipn,d3_x,d3_y,d3_z,d3_zerr,d3_velxy,d3_arm,d3_nav,d3_mpc,d3_solve_ms,d3_fallback,d3_hover,d3_poserr,d3_planratio,d3_clipn,d4_x,d4_y,d4_z,d4_zerr,d4_velxy,d4_arm,d4_nav,d4_mpc,d4_solve_ms,d4_fallback,d4_hover,d4_poserr,d4_planratio,d4_clipn,min_spacing,formation_max_err,safety_violations,total_fallbacks,max_solve_ms,leader_x,leader_y,leader_vx,leader_vy
1.0,-0.183,-0.150,-0.350,4.650,0.571,2,14,0,0.360,0,0,1.163,0.9865,0,-0.296,3.033,-0.267,4.733,0.327,2,14,0,0.383,0,0,0.637,0.9396,0,-0.018,-2.858,0.316,5.316,0.301,2,14,0,0.328,0,0,0.776,0.9371,0,3.144,0.104,-0.602,4.398,0.198,2,14,0,0.424,0,0,0.714,0.9428,0,-3.204,0.231,0.417,5.417,0.328,2,14,0,0.423,0,0,1.017,0.9598,0,2.794,0.308,0,0,0.424,0.000,0.000,0.000,0.000
2.0,-1.043,-0.906,-0.846,4.154,0.852,2,14,0,0.358,0,0,0.086,0.9865,0,-0.729,2.760,-0.664,4.336,0.383,2,14,0,0.348,0,0,0.128,0.9396,0,0.655,-3.378,-0.012,4.988,0.477,2,14,0,0.354,0,0,0.144,0.9371,0,2.725,0.871,-0.610,4.390,1.068,2,14,0,0.441,0,0,0.194,0.9428,0,-2.566,0.655,-0.026,4.974,0.943,2,14,0,0.321,0,0,0.317,0.9598,0,2.330,1.381,0,0,0.441,0.000,0.000,0.000,0.000
3.0,-1.060,-0.794,-1.784,3.216,0.088,2,14,0,0.326,0,0,0.079,0.9865,0,-0.809,2.745,-1.647,3.353,0.034,2,14,0,0.372,0,0,0.092,0.9396,0,0.514,-3.380,-0.591,4.409,0.148,2,14,0,0.324,0,0,0.211,0.9371,0,2.314,1.625,-0.623,4.377,0.539,2,14,0,0.495,0,0,1.028,0.9428,0,-2.240,0.591,-0.522,4.478,0.194,2,14,0,0.415,0,0,0.439,0.9598,0,2.214,1.764,0,0,0.495,0.000,0.000,0.000,0.000
4.0,-1.091,-0.847,-2.912,2.088,0.058,2,14,0,0.397,0,0,0.015,0.9865,0,-0.800,2.690,-2.820,2.180,0.075,2,14,0,0.351,0,0,0.037,0.9396,0,0.593,-3.222,-1.649,3.351,0.108,2,14,0,0.351,0,0,0.069,0.9371,0,2.217,1.480,-0.752,4.248,0.555,2,14,0,0.322,0,0,0.960,0.9428,0,-2.519,0.859,-1.582,3.418,0.173,2,14,0,0.318,0,0,0.101,0.9598,0,2.592,1.674,0,0,0.397,0.000,0.000,0.000,0.000
5.0,-1.085,-0.826,-4.144,0.856,0.047,2,14,0,0.198,0,0,0.037,0.9865,0,-0.779,2.695,-3.980,1.020,0.024,2,14,0,0.234,0,0,0.047,0.9396,0,0.641,-3.166,-2.937,2.063,0.048,2,14,0,0.296,0,0,0.068,0.9371,0,2.865,0.225,-1.659,3.341,0.743,2,14,0,0.283,0,0,0.454,0.9428,0,-2.519,0.841,-2.800,2.200,0.069,2,14,0,0.353,0,0,0.116,0.9598,0,2.576,1.364,0,0,0.353,0.000,0.000,0.000,0.000
6.0,-1.056,-0.825,-4.646,0.354,0.019,2,14,0,0.240,0,0,0.055,0.9865,0,-0.779,2.687,-4.369,0.631,0.018,2,14,0,0.228,0,0,0.040,0.9396,0,0.539,-3.155,-3.963,1.037,0.120,2,14,0,0.199,0,0,0.145,0.9371,0,2.771,0.004,-3.866,1.134,0.366,2,14,4,0.426,43,1,0.516,0.9428,0,-2.465,0.949,-3.929,1.071,0.111,2,14,0,0.200,0,0,0.028,0.9598,0,2.377,1.340,0,43,0.426,0.000,0.000,0.000,0.000
7.0,-1.121,-0.816,-4.876,0.124,0.038,2,14,0,0.196,0,0,0.049,0.9865,0,-0.758,2.697,-4.637,0.363,0.043,2,14,0,0.233,0,0,0.062,0.9396,0,0.635,-3.194,-4.225,0.775,0.061,2,14,0,0.196,0,0,0.046,0.9371,0,2.885,0.027,-4.926,0.074,0.750,2,14,0,0.192,51,0,0.666,0.9428,0,-2.562,0.995,-4.173,0.827,0.078,2,14,0,0.193,0,0,0.083,0.9598,0,2.419,1.387,0,51,0.233,0.000,0.000,0.000,0.000
8.0,-1.049,-0.798,-4.879,0.121,0.067,2,14,0,0.194,0,0,0.077,0.9865,0,-0.752,2.649,-4.719,0.281,0.080,2,14,0,0.162,0,0,0.053,0.9396,0,0.644,-3.215,-4.164,0.836,0.012,2,14,0,0.196,0,0,0.024,0.9371,0,3.332,0.640,-5.157,-0.157,0.662,2,14,0,0.187,51,0,0.629,0.9428,0,-2.478,0.954,-4.097,0.903,0.079,2,14,0,0.190,0,0,0.013,0.9598,0,2.393,1.318,0,51,0.196,0.000,0.000,0.000,0.000
9.0,-1.102,-0.766,-4.921,0.079,0.083,2,14,0,0.204,0,0,0.095,0.9865,0,-0.808,2.664,-4.750,0.250,0.008,2,14,0,0.200,0,0,0.011,0.9396,0,0.669,-3.224,-4.198,0.802,0.007,2,14,0,0.174,0,0,0.009,0.9371,0,2.745,1.298,-5.267,-0.267,0.719,2,14,0,0.195,51,0,0.635,0.9428,0,-2.523,0.930,-4.127,0.873,0.029,2,14,0,0.196,0,0,0.041,0.9598,0,2.351,1.342,0,51,0.204,0.000,0.000,0.000,0.000
10.0,-1.027,-0.822,-4.923,0.077,0.096,2,14,0,0.200,0,0,0.083,0.9865,0,-0.829,2.665,-4.737,0.263,0.040,2,14,0,0.189,0,0,0.027,0.9396,0,0.650,-3.184,-4.193,0.807,0.025,2,14,0,0.162,0,0,0.048,0.9371,0,2.089,0.822,-5.253,-0.253,0.842,2,14,0,0.233,51,0,0.637,0.9428,0,-2.504,0.954,-4.113,0.887,0.022,2,14,0,0.201,0,0,0.014,0.9598,0,2.448,1.315,0,51,0.233,0.000,0.000,0.000,0.000
